id,period_start,period_end,payout_date,amount_cents,status,bank_reference
4c8cb705-6afa-4191-86de-f1b8b58e7788,2026-02-16T00:28:21,2026-02-23T00:28:21,2026-02-25T00:28:21,57831,paid,PO-8BB6F8BDF8
0d1c36ca-31b6-430d-b134-1e8a614011c9,2026-02-23T00:28:21,2026-03-02T00:28:21,2026-03-04T00:28:21,41372,paid,PO-902A9C6E71
9e6a34d2-c63b-47dd-ad80-2077eeed08dd,2026-03-02T00:28:21,2026-03-09T00:28:21,2026-03-11T00:28:21,27858,paid,PO-E3A58D514B
83ed5e07-0ad2-4bcf-b721-d3916850c579,2026-03-09T00:28:21,2026-03-16T00:28:21,2026-03-18T00:28:21,52543,paid,PO-9069FF1D98
876ec9e6-1cea-4490-9e0b-a1db02935ab0,2026-03-16T00:28:21,2026-03-23T00:28:21,2026-03-25T00:28:21,42291,paid,PO-D926CE4CAE
5a3f0a88-48b1-4d81-83da-5b24659f056d,2026-03-23T00:28:21,2026-03-30T00:28:21,2026-04-01T00:28:21,37029,paid,PO-D9337559A7
7398660c-117c-45c5-a812-f5643fb26baf,2026-03-30T00:28:21,2026-04-06T00:28:21,2026-04-08T00:28:21,54030,paid,PO-CA9CE47448
d72d308d-9f72-4ff3-9bc6-5668fc2f31e7,2026-04-06T00:28:21,2026-04-13T00:28:21,2026-04-15T00:28:21,57193,paid,PO-B3B6A91FA4
b161e34d-1d7b-49a1-8f72-0f6e50cd3cd2,2026-04-13T00:28:21,2026-04-20T00:28:21,2026-04-22T00:28:21,31716,paid,PO-1FCECA25FE
6d6e04eb-e1b2-4ef9-806d-4966c7957792,2026-04-20T00:28:21,2026-04-27T00:28:21,2026-04-29T00:28:21,30538,paid,PO-1801D7BB4D
83351bac-3174-42cf-b08c-cc27be76b0ad,2026-04-27T00:28:21,2026-05-04T00:28:21,2026-05-06T00:28:21,43059,paid,PO-EF405C1124
44fab8e9-0db4-413f-8f32-f01c6acc2d65,2026-05-04T00:28:21,2026-05-11T00:28:21,2026-05-13T00:28:21,42856,paid,PO-FF69440985
31885a0f-4d68-4320-a647-790b86a73d6c,2026-05-11T00:28:21,2026-05-18T00:28:21,2026-05-20T00:28:21,56571,paid,PO-B7C18BAC30
ba5d6986-8bf4-4f56-9b68-0310c07c0b58,2026-05-18T00:28:21,2026-05-25T00:28:21,2026-05-27T00:28:21,33945,paid,PO-2758BB4DB4
0520ff81-a021-47a1-b1a6-e8e497c92ce2,2026-05-25T00:28:21,2026-06-01T00:28:21,2026-06-03T00:28:21,32375,paid,PO-7A87D1974A
30a3910f-4977-46ad-ac7b-33775f73a198,2026-06-01T00:28:21,2026-06-08T00:28:21,2026-06-10T00:28:21,31952,paid,PO-C23FD2E8E8
30d1b2d6-05b4-49f4-a142-630e14d21ac8,2026-06-08T00:28:21,2026-06-15T00:28:21,2026-06-17T00:28:21,30845,paid,PO-96BF904F5B
18df4412-805b-46ea-82f1-68a328c649b5,2026-06-15T00:28:21,2026-06-22T00:28:21,2026-06-24T00:28:21,31279,paid,PO-36DE33D69C
d0e9a6f5-4c2a-46b6-8b64-b372bfe1c352,2026-06-22T00:28:21,2026-06-29T00:28:21,2026-07-01T00:28:21,21991,paid,PO-15A35EF616
4a51b265-0b6f-47bf-a527-97b092b3d369,2026-06-29T00:28:21,2026-07-06T00:28:21,2026-07-08T00:28:21,47916,paid,PO-D213AD2F8A
8b224137-fbde-4d8b-85b9-c284b57b4288,2026-07-06T00:28:21,2026-07-13T00:28:21,2026-07-15T00:28:21,42803,paid,PO-45AECF275A
536bf61c-ab4d-4917-9713-62720f254960,2026-07-13T00:28:21,2026-07-20T00:28:21,2026-07-22T00:28:21,57501,paid,PO-65F885318F
9a97fd37-93dc-4103-b176-032f13d54136,2026-07-20T00:28:21,2026-07-27T00:28:21,2026-07-29T00:28:21,18480,paid,PO-1110D14D04
8899e167-e174-46c3-89f0-cc2282435723,2026-07-27T00:28:21,2026-08-03T00:28:21,2026-08-05T00:28:21,40751,paid,PO-77FD4F29B7
339a1864-0c41-4ff2-ab7c-5366882bfa00,2026-08-03T00:28:21,2026-08-10T00:28:21,2026-08-12T00:28:21,40563,paid,PO-200A28743D
7f22c2e9-2cb4-49a1-9843-a41a86041642,2026-08-10T00:28:21,2026-08-17T00:28:21,2026-08-19T00:28:21,29936,pending,PO-BFD5A5A90C
