id,return_id,event_type,occurred_at
58a6694e-12e1-4e6e-8ccc-2628f044e18f,be19b4aa-1f08-40f8-9ff5-6923abf93f3b,requested,2026-03-19T09:45:46
e9527bca-8870-48eb-9711-b067cca017db,be19b4aa-1f08-40f8-9ff5-6923abf93f3b,approved,2026-03-19T20:12:56
87574ca8-f16e-4d21-a9f3-b6a4bbf62be3,be19b4aa-1f08-40f8-9ff5-6923abf93f3b,item_received,2026-03-23T20:12:56
8375b25e-eeb8-41d6-b6a3-5da8ff6a993e,be19b4aa-1f08-40f8-9ff5-6923abf93f3b,inspection_completed,2026-03-25T08:58:35
2db25d8f-e66a-411c-93f9-6abd49677036,be19b4aa-1f08-40f8-9ff5-6923abf93f3b,refund_issued,2026-03-26T00:18:59
817535a8-3cfb-4900-8ed1-d9c73ec787ce,1c4b18d7-fc85-4891-84cf-0da3ec011e86,requested,2026-07-24T20:57:35
e7c63732-2998-40be-9829-78ae517e5ece,1c4b18d7-fc85-4891-84cf-0da3ec011e86,approved,2026-07-25T07:54:22
ccc9a202-2f1e-40b0-bb4c-84c30e0fe783,1c4b18d7-fc85-4891-84cf-0da3ec011e86,item_received,2026-07-27T07:54:22
f73f2d3c-1ec1-45f9-ba64-6172cf687f6a,1c4b18d7-fc85-4891-84cf-0da3ec011e86,inspection_completed,2026-07-29T02:55:31
62c16d65-64b3-4cf9-b474-d777440e183f,1c4b18d7-fc85-4891-84cf-0da3ec011e86,refund_issued,2026-07-29T11:35:25
ee812351-0732-4821-915b-c53f62cb429a,a0519d9c-cafd-4817-8421-2165a7b382d6,requested,2026-06-11T20:30:52
c6ec44d2-8253-449a-8866-19c1c2f128e3,a0519d9c-cafd-4817-8421-2165a7b382d6,approved,2026-06-12T18:38:28
e6c15b4a-cc31-4f94-be46-ecc07cbccd32,a0519d9c-cafd-4817-8421-2165a7b382d6,item_received,2026-06-18T18:38:28
095f0435-8402-4cb6-b595-d10a6a0552c1,a0519d9c-cafd-4817-8421-2165a7b382d6,inspection_completed,2026-06-20T11:07:04
c3012732-5bf0-4e27-bed1-1907b44bec12,a0519d9c-cafd-4817-8421-2165a7b382d6,refund_issued,2026-06-20T15:35:13
cf516be6-400a-4d0f-ab7b-37da8fa9170f,87231695-2bab-4640-a628-d5ccd59408d6,requested,2026-04-16T16:09:59
12023eba-67ca-4225-a8d6-bbc0c277538b,87231695-2bab-4640-a628-d5ccd59408d6,approved,2026-04-17T00:56:09
6a487bb1-b995-4b80-84e9-4037809404f1,87231695-2bab-4640-a628-d5ccd59408d6,item_received,2026-04-24T00:56:09
1c5eb3b7-37d0-4720-a2d5-ddf16531c1f1,87231695-2bab-4640-a628-d5ccd59408d6,inspection_completed,2026-04-25T09:05:09
5e054bc3-2713-4ae6-9900-096c7a34e879,bcc27773-304b-4705-b787-63844b266b39,requested,2026-07-24T10:36:39
f8d9b264-d4ce-4f43-bff6-79906a69b817,bcc27773-304b-4705-b787-63844b266b39,approved,2026-07-24T14:57:21
c6a6a03b-4193-46ca-9e32-5689a2aa390e,bcc27773-304b-4705-b787-63844b266b39,item_received,2026-07-28T14:57:21
59860bac-f329-4ecf-8040-1da44010300c,bcc27773-304b-4705-b787-63844b266b39,inspection_completed,2026-07-29T21:50:16
2c457995-d6cb-4e5e-bb81-d0b164d22a7b,bcc27773-304b-4705-b787-63844b266b39,refund_issued,2026-07-30T19:09:28
2c960037-7c1c-4f12-8049-6f4ab9815bbb,e767823d-d623-4991-8816-0041428fc18b,requested,2026-04-28T18:31:35
a567131d-2b86-4a19-ade6-2ea952a0f0c9,e767823d-d623-4991-8816-0041428fc18b,approved,2026-04-29T09:40:48
ab6a1b7a-73fc-4b4b-bd9c-e658c5426104,e767823d-d623-4991-8816-0041428fc18b,item_received,2026-05-02T09:40:48
dc67f10a-b84a-4065-bc3e-981d07eff613,e767823d-d623-4991-8816-0041428fc18b,inspection_completed,2026-05-03T05:56:11
3d53cc11-8eaa-4944-819f-f9eea3f56e60,e767823d-d623-4991-8816-0041428fc18b,refund_issued,2026-05-03T20:52:33
ba461585-d16b-423e-9885-16e172b1f993,ad5d56a5-c3c3-4288-abfa-c3f639e35d42,requested,2026-04-29T01:52:31
88979ec9-ac82-4aa3-ba67-56da363e28fe,ad5d56a5-c3c3-4288-abfa-c3f639e35d42,approved,2026-04-29T12:06:58
645365f4-3ba0-43f3-b92c-b1363c35e739,ad5d56a5-c3c3-4288-abfa-c3f639e35d42,item_received,2026-05-05T12:06:58
c7c69aef-5280-437e-bfc4-1353f0cb688f,ad5d56a5-c3c3-4288-abfa-c3f639e35d42,inspection_completed,2026-05-06T15:50:00
26ea10bd-f6bf-40e7-9d62-00b942ef5abf,ad5d56a5-c3c3-4288-abfa-c3f639e35d42,refund_issued,2026-05-07T03:30:23
44173fc5-cb92-415e-89bb-d7f9e796c98a,e9f20000-5a6e-485d-9700-126f3efc245a,requested,2026-03-27T19:34:02
7bbdb1cc-9e62-49cc-8210-c79def288a61,e9f20000-5a6e-485d-9700-126f3efc245a,approved,2026-03-28T02:01:58
cb68a4b6-0379-470f-a939-fab311c52402,e9f20000-5a6e-485d-9700-126f3efc245a,item_received,2026-04-02T02:01:58
3ca08ead-f784-419c-8928-f76d32844ff2,e9f20000-5a6e-485d-9700-126f3efc245a,inspection_completed,2026-04-02T16:44:27
f7614c00-0539-41bc-bd60-f904303d2343,e9f20000-5a6e-485d-9700-126f3efc245a,refund_issued,2026-04-03T04:43:05
6f0e2084-0c94-493c-9bfe-75f4f0901043,a49b3397-b96d-4c62-8d66-9098b5e2618c,requested,2026-04-12T21:50:55
ced872e1-d7d2-4db5-a25b-21e83e360260,a49b3397-b96d-4c62-8d66-9098b5e2618c,approved,2026-04-13T13:15:02
80677b88-9a48-4ba2-8a09-4f8ff44148b4,a49b3397-b96d-4c62-8d66-9098b5e2618c,item_received,2026-04-19T13:15:02
