id,shipment_id,customer_id,reason,status,requested_at,refund_status,refund_amount_cents,refunded_at
be19b4aa-1f08-40f8-9ff5-6923abf93f3b,aff6ee40-3722-4de9-a578-f2f9851ad94e,77475cfc-c7a4-44fd-aa82-b68053aa7540,damaged_in_transit,closed,2026-03-19T09:45:46,completed,1062,2026-03-26T00:18:59
1c4b18d7-fc85-4891-84cf-0da3ec011e86,052a584b-6c3c-4c6e-80d7-50ea0a84982a,21c61b96-d053-45f3-9730-c3483fe288d2,damaged_in_transit,closed,2026-07-24T20:57:35,completed,3819,2026-07-29T11:35:25
a0519d9c-cafd-4817-8421-2165a7b382d6,f90a0b36-9d80-45f2-bebe-538842626d3f,6a0e8a99-d39a-4600-9876-1344b693450f,wrong_item,closed,2026-06-11T20:30:52,completed,735,2026-06-20T15:35:13
87231695-2bab-4640-a628-d5ccd59408d6,bbc3dc9d-df80-45df-9da3-c91e9e88421c,0872893c-bf01-4853-b91f-a1cc0263fedf,not_as_described,inspected,2026-04-16T16:09:59,rejected,0,
bcc27773-304b-4705-b787-63844b266b39,1dd281af-db60-41e3-adae-f78bc0fd9b29,2a6409ee-29ac-483f-a2a7-9074fcb50191,wrong_item,closed,2026-07-24T10:36:39,completed,1173,2026-07-30T19:09:28
e767823d-d623-4991-8816-0041428fc18b,f5df48aa-274b-42eb-a7ec-870cc98819bb,a3d91be1-b5d9-4d3c-bdd8-ab49cd378f30,damaged_in_transit,closed,2026-04-28T18:31:35,completed,817,2026-05-03T20:52:33
ad5d56a5-c3c3-4288-abfa-c3f639e35d42,eb7bec9d-8d4c-4827-8789-32dc4c72b9c3,cd709ef0-753a-4968-b981-ab264708b37a,wrong_item,closed,2026-04-29T01:52:31,completed,658,2026-05-07T03:30:23
e9f20000-5a6e-485d-9700-126f3efc245a,6a10f4c0-7792-461c-8191-e9527c61f118,80617fda-335d-411d-aed3-ca3917a8cff2,wrong_item,closed,2026-03-27T19:34:02,completed,7968,2026-04-03T04:43:05
a49b3397-b96d-4c62-8d66-9098b5e2618c,ccc505ad-45c5-49a0-b40c-79dcbc591a1c,2e0d6ce4-794d-4494-bd1d-f44dbca8683f,no_longer_needed,inspected,2026-04-12T21:50:55,rejected,0,
deb99b1b-79fa-4c07-83b0-7081183e19ef,7637e032-db53-4047-bc7f-e036a9d6384f,ce8210c0-c537-4fd0-80ef-c3e8063b748a,wrong_item,closed,2026-04-30T22:53:14,completed,762,2026-05-09T06:01:23
38596209-1066-4bf2-8b92-3cde92eda0d8,3ff7ca1d-96e5-4e12-9f39-1502d1dcd7a2,f24f29fa-33e9-41e2-8965-ac4e39be3919,wrong_item,inspected,2026-03-05T00:45:20,rejected,0,
c7795ed8-32e7-43ec-8702-6c644ef0912b,b810d25e-8d2f-4337-a32a-0242e94110e2,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,defective,inspected,2026-08-20T10:17:07,rejected,0,
0a57dd5f-df56-471a-ba6e-dc61336ae860,37607e53-d772-4bbb-86e5-0120c7509fed,f4c4994a-5a77-4a2f-902b-4f69c22ccee3,no_longer_needed,closed,2026-07-19T14:03:59,completed,1786,2026-07-26T05:45:57
94d98431-551a-4ba5-99c2-7835727e1659,3057e087-9e4d-4c6c-a8ea-d3e4264733ce,dcddb844-390f-4861-a4ee-0a32b75bb218,not_as_described,closed,2026-03-14T10:59:02,completed,4236,2026-03-17T22:17:37
