id,checkout_id,sku,quantity,unit_price_cents
3e9ac738-2135-40ce-b785-0bb7ef343d2e,c2d9ed19-a5ec-4df6-9fce-7fa8090f0697,BEV-002,1,500
419f5c34-fcfc-49e1-a851-d7a1296d8478,3c11c131-881f-4e3c-bed6-5737f9643212,BEV-004,1,700
c250fbe5-2c32-497b-8f79-0c7b8afb679f,3c11c131-881f-4e3c-bed6-5737f9643212,JAF-004,1,1400
1fbb1a83-093b-473f-8ddf-cbe71806e66f,3c11c131-881f-4e3c-bed6-5737f9643212,BEV-004,1,700
996f6bf1-4c84-4e3e-bce9-384eebafa541,3c11c131-881f-4e3c-bed6-5737f9643212,JAF-001,1,1100
90f596e2-a5bf-4df4-a16b-a991d58f5756,4b859b06-ce1f-4e34-adb5-23f9f84cd4e4,BEV-003,1,600
aff3d6f7-af94-45e8-8bc5-fe6daebe064a,bbc91b60-90c7-4f3e-a804-32ca876bd9ad,JAF-004,2,1400
6f88e050-8756-45b5-b806-8f9ce9e05c1d,16c125ab-cb8b-49ce-b0a4-3114588df68c,BEV-003,1,600
08a8309b-3290-4ce1-a7db-e6fbac0a7332,16c125ab-cb8b-49ce-b0a4-3114588df68c,JAF-005,1,1200
b819dc62-a6f1-47fb-953b-a73790b3704c,16c125ab-cb8b-49ce-b0a4-3114588df68c,JAF-002,1,1100
dabe02e0-8084-4b27-8c84-a718b4fc3615,304ef86c-a9e1-43a5-91f7-f3032bd2ca1f,BEV-004,1,700
4be603f2-795d-4da1-aee6-974992196b0e,304ef86c-a9e1-43a5-91f7-f3032bd2ca1f,BEV-003,2,600
6245d778-5f9b-4e99-975d-af317a8dc70a,304ef86c-a9e1-43a5-91f7-f3032bd2ca1f,BEV-004,1,700
ae24ea03-41ad-48ac-8836-6c8163b06f6c,ea3d6a42-ee9e-4cea-970d-117e38786463,BEV-002,1,500
9ea27e14-7cc9-4b1c-a070-d0af1308d885,ea3d6a42-ee9e-4cea-970d-117e38786463,JAF-001,1,1100
a84a239f-5135-4bbf-9984-657280615cf7,ea3d6a42-ee9e-4cea-970d-117e38786463,JAF-001,1,1100
797f28cf-c749-4da2-adcb-4523064a5cc0,a6ccaa4f-ccfe-4b24-b073-a3d59a755b1d,BEV-003,1,600
c8ea0053-3922-46c9-b945-e0e5168c9543,a7eb73fd-e44e-4cf0-b320-985f6da24df8,BEV-001,2,600
7c36bc4b-653d-47bf-8207-3e17258cca04,a7eb73fd-e44e-4cf0-b320-985f6da24df8,BEV-004,1,700
f444d4b5-1806-4205-9870-7386bb1ed283,a7eb73fd-e44e-4cf0-b320-985f6da24df8,JAF-002,1,1100
437d2dbf-c253-4f64-a972-041c2ba192c1,c46f2285-789e-4d4d-9611-7c23fa0a604c,JAF-003,1,1200
