id,campaign_id,customer_id,channel,event_type,occurred_at
2242d769-07d9-4b9b-93fe-0b484be82769,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,50a2d1c4-d788-4498-a6f7-dd75d4db588f,sms,clicked,2026-02-28T18:13:21
be49d18a-8f53-45ac-b10c-3c67a2a0c3b8,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,50a2d1c4-d788-4498-a6f7-dd75d4db588f,sms,opted_out,2026-03-22T05:33:46
68d2ae70-b186-4193-a2e1-820fdeebff57,8c37538c-2f8a-40e9-ba0a-e71d00f5f353,50a2d1c4-d788-4498-a6f7-dd75d4db588f,email,opened,2026-03-03T02:34:05
27165771-59e7-4d63-b47b-17a6c58b744a,1fb2363e-3da8-46b9-aa20-08dd5aae305f,5261268c-aa94-438a-921a-05efc0d414ac,push,sent,2026-03-26T00:26:24
89a09f1f-cb8c-4b80-9f3f-1c6a2577c1c4,1fb2363e-3da8-46b9-aa20-08dd5aae305f,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,push,sent,2026-03-18T14:02:27
1dc934d5-337b-4f83-a780-f0d8d71d8e45,1fb2363e-3da8-46b9-aa20-08dd5aae305f,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,push,sent,2026-03-29T19:33:08
889b679a-c4b5-437c-ba92-2cb8a3f320bc,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,email,sent,2026-03-17T03:34:27
c1e5dc8e-15d9-4f80-b6ed-ed1de892a2a8,81e4a121-070a-4f50-a023-2630fc13727c,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,search,impression,2026-03-31T13:56:18
74dc3bce-c105-41f1-961c-aec66bdba9ca,f2b87082-9015-4dc5-813c-99cf680d5633,2660b7ac-6c46-4392-8ddc-26194c532341,email,delivered,2026-03-29T21:37:56
a4df231f-1888-49e5-97e1-9a2579949ada,f2b87082-9015-4dc5-813c-99cf680d5633,2660b7ac-6c46-4392-8ddc-26194c532341,email,sent,2026-03-16T20:35:31
d05f213d-6ccb-4d02-82e4-23544de68002,1fb2363e-3da8-46b9-aa20-08dd5aae305f,0000bd8e-496c-42aa-9430-fea7f9bd6a96,push,opened,2026-03-19T08:12:06
c737ca90-0846-404a-aefc-f9002ac893ad,1fb2363e-3da8-46b9-aa20-08dd5aae305f,0000bd8e-496c-42aa-9430-fea7f9bd6a96,push,opened,2026-03-27T21:08:23
81b6d071-7fd2-4e11-8af0-745d12a168c7,09573707-88d5-49d3-9883-cad210dfc293,0000bd8e-496c-42aa-9430-fea7f9bd6a96,email,clicked,2026-07-27T19:51:37
e091e8d1-d426-4f4c-833d-52108f2678b3,81e4a121-070a-4f50-a023-2630fc13727c,0000bd8e-496c-42aa-9430-fea7f9bd6a96,social,click,2026-03-21T11:15:49
9bdf745c-5ce7-45c4-bb8e-b572dfb05357,f2b87082-9015-4dc5-813c-99cf680d5633,69731d27-9caa-46cf-8933-d01e29b20043,email,delivered,2026-03-06T00:42:12
7bc6a9f7-e610-45b2-843c-14b9711cd02f,5c2098f9-789d-4c19-bc39-9bc2b10b615d,96f4e93c-c759-4fc7-b4a3-c8a153858bea,display,click,2025-11-24T00:59:59
a55eb649-699b-408f-8413-0169aefde9b4,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,96f4e93c-c759-4fc7-b4a3-c8a153858bea,social,click,2026-03-21T12:01:05
f5cfdf74-7b18-4d96-93f6-0c236afadba2,09573707-88d5-49d3-9883-cad210dfc293,96f4e93c-c759-4fc7-b4a3-c8a153858bea,email,sent,2026-08-23T15:40:37
a0721d16-84a4-42bc-94c3-abe5d59e9ad6,af40537c-3f5a-41f0-b7e8-3506667f1847,96f4e93c-c759-4fc7-b4a3-c8a153858bea,sms,sent,2026-06-03T15:55:29
50811db1-3d81-4af0-9e36-bc65ef7dae3c,1fb2363e-3da8-46b9-aa20-08dd5aae305f,6faa20a4-1e8f-43a8-9a45-33ae5f675190,push,delivered,2026-03-28T12:22:58
93806512-37c1-4fd4-9be4-0f25c20615df,f2b87082-9015-4dc5-813c-99cf680d5633,6faa20a4-1e8f-43a8-9a45-33ae5f675190,email,sent,2026-02-28T18:04:09
9daced5e-72ef-47d7-abfa-0de4d235468e,5c2098f9-789d-4c19-bc39-9bc2b10b615d,6faa20a4-1e8f-43a8-9a45-33ae5f675190,display,impression,2025-11-27T17:50:17
d407b087-016a-4218-9452-7b20a1e6cbce,81e4a121-070a-4f50-a023-2630fc13727c,6faa20a4-1e8f-43a8-9a45-33ae5f675190,search,click,2026-03-28T08:07:18
9a0e6527-01e4-47e3-8bc8-77f41802d97c,af40537c-3f5a-41f0-b7e8-3506667f1847,5bbca380-854e-47a4-ae5c-fd631650a115,sms,sent,2026-06-05T12:02:16
2a762c88-acca-4268-849c-33d378302e01,5c2098f9-789d-4c19-bc39-9bc2b10b615d,5bbca380-854e-47a4-ae5c-fd631650a115,social,impression,2025-11-04T01:02:27
5a33ea85-5667-42ae-a22b-46cdd5468574,f2b87082-9015-4dc5-813c-99cf680d5633,5bbca380-854e-47a4-ae5c-fd631650a115,social,click,2026-03-27T22:32:08
22dbe122-e5b6-4798-ab5b-c105c71a42f4,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,5bbca380-854e-47a4-ae5c-fd631650a115,sms,sent,2026-04-04T08:52:59
037f6ae6-2981-4892-b92b-2847408cec5c,5c2098f9-789d-4c19-bc39-9bc2b10b615d,e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,social,click,2025-11-02T17:25:52
8cf6dedf-e0a1-4237-b5c3-9ff93b29a301,81e4a121-070a-4f50-a023-2630fc13727c,e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,search,click,2026-03-29T09:19:21
73880309-e8d9-4038-b1ab-9e500ff68b11,5c2098f9-789d-4c19-bc39-9bc2b10b615d,e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,display,click,2025-11-06T02:16:40
29760d62-4037-469f-b64c-44ebadd2e7ab,5c2098f9-789d-4c19-bc39-9bc2b10b615d,e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,display,impression,2025-11-14T07:08:50
7cddd96c-5700-476f-ab28-b199de94064d,8c37538c-2f8a-40e9-ba0a-e71d00f5f353,e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,email,opened,2026-03-13T19:41:44
866e5c07-e0ca-4f55-908b-ec78784fe9e9,81e4a121-070a-4f50-a023-2630fc13727c,3f1fc492-e8ed-4840-97a0-a56592fdc1d9,search,impression,2026-03-21T01:31:22
5c64baae-e383-430d-b9fc-ae59170f8f1c,1fb2363e-3da8-46b9-aa20-08dd5aae305f,3f1fc492-e8ed-4840-97a0-a56592fdc1d9,push,sent,2026-03-12T11:51:26
3d98b27f-8aa5-40f7-8101-a184f6f2ccc7,09573707-88d5-49d3-9883-cad210dfc293,3f1fc492-e8ed-4840-97a0-a56592fdc1d9,email,clicked,2026-07-31T03:00:20
648f6a93-b75d-4772-86b2-19a495db7d78,09573707-88d5-49d3-9883-cad210dfc293,3483e39a-260f-4974-9366-50c2d833307f,email,delivered,2026-08-16T23:11:40
5d1e6c50-2e74-4742-8ef3-90af340b7bb2,81e4a121-070a-4f50-a023-2630fc13727c,3483e39a-260f-4974-9366-50c2d833307f,search,impression,2026-03-28T20:16:05
9e336c15-1d97-4cd3-b15e-87921b882d40,5c2098f9-789d-4c19-bc39-9bc2b10b615d,3483e39a-260f-4974-9366-50c2d833307f,display,click,2025-11-15T11:12:52
4815971b-f89f-4af2-8a7c-579ae39cdf52,1fb2363e-3da8-46b9-aa20-08dd5aae305f,0b4a904c-b6d7-4355-b1ff-3744b3831112,push,sent,2026-03-31T19:01:54
c48ccd0d-0e3d-437f-a026-02e9ab582c7d,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,0b4a904c-b6d7-4355-b1ff-3744b3831112,sms,sent,2026-02-26T18:37:27
5404a3fc-86fb-4fa8-8628-59aa9d268d89,5c2098f9-789d-4c19-bc39-9bc2b10b615d,0b4a904c-b6d7-4355-b1ff-3744b3831112,display,impression,2025-11-22T05:47:13
9ecb76f3-6525-4d16-be5d-d471333c7ba4,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,0b4a904c-b6d7-4355-b1ff-3744b3831112,sms,opted_out,2026-03-07T22:34:08
6a9f8338-84fb-45fa-bdb5-89245f4ff149,f2b87082-9015-4dc5-813c-99cf680d5633,3c7a4cde-d92b-4d90-a731-9c0461ae8c90,email,delivered,2026-03-26T09:01:20
