id,product_id,customer_id,rating,title,body,status,created_at
314c97b2-0644-4480-b2d4-42239539827f,BEV-005,b4413ac0-2fc9-4c91-b188-71c109d9be8f,5,Loved it!,Oil state age environmental data dinner push thank.,published,2026-06-26T16:28:57
cfa57a85-f9c1-43c7-b07d-5c28d885bde4,JAF-005,341da637-6927-4a64-8183-13ec96005b5f,4,Will buy again,Week fine which relationship buy two. South same have glass.,published,2026-07-15T16:28:57
6df5e9ec-1654-42b3-80c8-aabc606d201d,JAF-002,d45ce04e-1258-4744-ab7d-af982c28565d,5,Highly recommend,Run represent head heavy. Break business pay edge modern. Responsibility daughter executive involve result.,published,2025-08-04T16:28:57
3bdd1b83-a102-40b9-a413-41305d289ac9,BEV-005,e0cbd2e1-eee7-409c-9cf1-707eb4f867ce,5,Exactly what I wanted,City together speech support ready.,published,2026-02-06T16:28:57
d9acdc77-aa12-41ca-97a8-60deedd0eea1,JAF-002,a3d91be1-b5d9-4d3c-bdd8-ab49cd378f30,4,Loved it!,Thousand tonight kid identify standard. Simple land national best. Soon debate ok break side window response. Level personal bit.,published,2025-11-20T16:28:57
b733996d-e979-4fc1-8351-53de1f67cb44,BEV-002,8cf43099-d49e-4e95-8b08-3d61df8b947f,3,Not what I expected,Day attention heart sister shake. Value participant tend some far tough official exist. Hold tonight account wide media word.,published,2025-09-11T16:28:57
24608304-1a23-4bfa-919d-a3302613169b,BEV-005,4559b465-3dfc-40aa-84fe-31c153b4c0d8,5,Highly recommend,Want citizen from. Month protect forward weight recognize.,published,2025-08-28T16:28:57
7bccab6c-2957-4751-ab4f-9313524cb629,BEV-002,a5781cf5-d32e-4370-b0f8-4f229bc0efa4,5,Great choice,Next Democrat avoid.,published,2025-07-29T16:28:57
e69c242c-50b2-4e22-8af3-9ea535b4b219,JAF-005,ce73a9b8-27f8-4c9f-941c-4b99a646fb32,5,Great choice,Town agreement sure heavy director end. Method under continue drive commercial send media. Role position fish crime.,published,2025-09-02T16:28:57
e2eb0626-b7f7-41c3-8ed6-993c247b3f64,BEV-005,a30edde1-4a46-4acb-905c-013e285a8101,5,Exactly what I wanted,Write former human voice involve. Science policy parent remember. Water must information trial star.,published,2026-08-12T16:28:57
ada1f944-ab5d-4a33-a6e7-6c96e620f415,JAF-004,ef7f92e8-2f80-4e44-9e56-9ee276819791,3,Disappointed,Until raise form bar person. Low physical success site expect view.,published,2026-02-04T16:28:57
106274dc-1b74-4926-abbf-27c472fbf537,JAF-003,6a49a618-20de-4b7a-af94-1b4afeb9a85e,5,Will buy again,Include bed marriage speech real. Carry happen car debate believe list. Until from community reveal article want more.,pending,2025-07-20T16:28:57
5e42cb15-ae08-4369-8ccc-60d683c5f346,BEV-005,0f708081-5838-40db-84a9-ca8b6845336f,4,Will buy again,Relate Mrs rich Democrat effect. Scientist beat put artist he recognize. Tend mention big include follow war sing feeling.,published,2026-03-23T16:28:57
1529dadd-a81f-4d25-b1b7-4916f0b0d6b3,JAF-004,4b503eb1-da2e-4115-8f64-b4dc888db448,1,Disappointed,White eye investment teacher record director away. Short second generation make article.,published,2026-08-14T16:28:57
53eb315f-4702-4b4b-858a-3ba5a0b8f318,JAF-005,a5f46489-06cf-45af-9efd-dbd27067716c,5,Will buy again,Ten old nation subject analysis institution late purpose. Billion see race suddenly effort. Best start mention focus section budget.,published,2025-08-23T16:28:57
b53c8939-5614-422c-a8b4-01116fdbbe67,BEV-005,0bb6fcf3-0741-4179-af46-d26c45b77171,4,Loved it!,Interesting reason hold dream feeling pay. Take building PM leave certainly and.,published,2026-03-30T16:28:57
b5e43cb6-1cbb-4e30-b8c0-9486959bf33f,JAF-005,598904ac-fa48-43af-8fe9-41388451ae53,5,Exactly what I wanted,Man start such skill. Debate card sign cause. Behavior gas avoid serious with. Inside become pressure according according media.,published,2025-11-25T16:28:57
7c6ce019-5dea-4981-ace2-b0d067a8bc2a,BEV-004,0b7ba743-6819-4540-8542-b7fa14bd996d,4,Will buy again,Audience west somebody whatever report.,published,2025-08-07T16:28:57
e99395c1-a3f0-4bc4-b9a8-6bcd2eae0457,BEV-001,b418aed1-0951-4085-9fe4-e750e7fe45f9,4,Exactly what I wanted,Attorney agreement maintain.,published,2026-06-07T16:28:57
cc67d66d-eda8-4f4d-8bda-9f9529492be8,JAF-001,43086963-8392-432e-84e0-ef1902202b4c,5,Exactly what I wanted,Class same star huge along. Middle company tonight process.,published,2025-08-17T16:28:57
c19eb6be-e776-4b67-9b0e-eb880baffe33,JAF-001,23fd6560-8719-45ae-a5f0-6d81f0484750,5,Will buy again,Either guess citizen art important subject. Mrs cup might up specific. Media present spring we forget.,published,2026-06-26T16:28:57
de5b7977-4d11-4f8d-ba05-ff8cba4a504b,JAF-002,3b0faafa-80d0-490d-bdd0-fe1f13d22058,1,Wouldn't order again,Body behind she toward bill.,published,2026-05-15T16:28:57
fd5ddf14-592e-4c85-bc93-cc7ab41fec5c,BEV-004,e8e92a9f-bec3-4873-951c-b05d0fe37715,5,Will buy again,Popular audience mean maybe necessary special. Long now bad court hold.,published,2026-02-19T16:28:57
af648c08-7a91-4263-af8a-3b1a328d1398,BEV-004,4559b465-3dfc-40aa-84fe-31c153b4c0d8,5,Great choice,Tell nothing turn throw friend bill some. List discussion kid agreement.,published,2026-02-26T16:28:57
2e32fa08-50eb-4105-a934-e55e5698d237,JAF-002,54c7fff7-8475-4ccd-a380-7e8187501723,4,Exactly what I wanted,West among result surface well. Watch open think education break company identify. Kind appear raise PM.,rejected,2025-12-29T16:28:57
e3ac6e8d-d4d3-4561-922f-a02c106db9c3,JAF-003,847d46dd-9721-4351-8bef-5c2292b57d6f,2,Wouldn't order again,Table effort even model high unit. Believe memory full only rule dinner. Soldier item fill between process.,published,2025-11-18T16:28:57
9e623abc-5d81-4319-ad66-b417a17ac35a,BEV-001,d6cf7caa-9dd8-48c6-b4ee-5a02f62bb280,4,Exactly what I wanted,Daughter near whom item within. Once these indicate teacher wide position race. Item between huge remain.,published,2025-09-04T16:28:57
