id,checkout_id,warehouse_id,status,created_at,completed_at
40464aa5-9045-48b9-be92-2b767c28c79c,c2d9ed19-a5ec-4df6-9fce-7fa8090f0697,WH-EAST,shipped,2026-05-12T06:35:40,2026-05-13T17:29:52
427f6ff2-264f-49a8-9a66-72498a536a80,3c11c131-881f-4e3c-bed6-5737f9643212,WH-EAST,packed,2026-03-09T01:52:40,
cadf9c1c-598c-4f17-96af-e495cb5c7013,4b859b06-ce1f-4e34-adb5-23f9f84cd4e4,WH-EAST,shipped,2026-03-03T23:59:15,2026-03-05T01:27:26
c437206f-9756-498e-91e0-b9b89a869ef9,bbc91b60-90c7-4f3e-a804-32ca876bd9ad,WH-EAST,shipped,2026-03-18T15:57:48,2026-03-20T00:49:13
b29797a1-cdeb-4518-9a75-e461ec7fe92e,16c125ab-cb8b-49ce-b0a4-3114588df68c,WH-EAST,shipped,2026-07-21T19:44:55,2026-07-23T00:41:21
e1aafd8b-d81a-42e0-b5df-da340eb3425e,304ef86c-a9e1-43a5-91f7-f3032bd2ca1f,WH-WEST,shipped,2026-06-16T15:32:35,2026-06-17T22:51:00
3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,ea3d6a42-ee9e-4cea-970d-117e38786463,WH-EAST,shipped,2026-04-09T22:51:43,2026-04-11T11:34:05
b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,a6ccaa4f-ccfe-4b24-b073-a3d59a755b1d,WH-WEST,shipped,2026-06-07T17:09:52,2026-06-09T02:35:53
eeafcc4d-3c84-4154-994b-dbf1361caea4,a7eb73fd-e44e-4cf0-b320-985f6da24df8,WH-WEST,packed,2026-06-08T09:36:45,
98864751-a111-46d0-b72b-318600015bbd,c46f2285-789e-4d4d-9611-7c23fa0a604c,WH-EAST,shipped,2026-06-14T08:44:53,2026-06-15T15:26:26
c1f8ac1e-6569-4a6d-8fe8-7865b0157f7d,d2a9859e-eed1-41f8-902b-b5ed6b6d8147,WH-WEST,picking,2026-08-07T22:00:38,
2be583a5-5c69-49a3-9307-f84739b2f34c,9ffc3e91-0b72-4e0a-a484-7a0f8b63ee0e,WH-WEST,shipped,2026-07-25T15:03:06,2026-07-26T20:57:56
b0006b44-c94e-44fa-8a45-5a90d4b79e56,0e5df425-c648-43a8-abde-b7df521ed814,WH-WEST,shipped,2026-03-26T05:36:50,2026-03-27T16:09:59
d287257a-1e7c-447e-a244-6aa1d7e46cc3,e757fc80-0354-4bd7-a6bb-9f7a66cdfca0,WH-WEST,shipped,2026-05-27T23:14:12,2026-05-28T07:51:07
9a7f13fb-33bd-4f69-a457-70784a437ed4,c7a110d0-d260-4eed-a156-2e4c4e90e9bb,WH-EAST,shipped,2026-03-28T20:41:42,2026-03-30T05:33:36
ed9b4881-f135-47e6-882f-186773281264,8f8d7c25-f4eb-42f0-9012-61460c190e2d,WH-WEST,picking,2026-07-23T11:51:19,
014b914b-21a9-4b66-baa4-d528e36d8297,c9c307e7-73df-46a4-85fc-2fd5b2483a37,WH-EAST,shipped,2026-03-01T20:33:08,2026-03-03T09:45:46
3a97ad75-6968-42d0-8be6-3a76bd3618b8,b8138734-be83-48ce-884f-a6f37b7e598c,WH-EAST,shipped,2026-04-02T11:56:15,2026-04-03T14:54:43
66cd5e6c-c257-4ed6-aadf-9b1457435f90,69d47978-74a6-409f-8507-3c829dc5c98a,WH-WEST,shipped,2026-07-02T01:51:11,2026-07-03T01:56:03
abcc0120-f74c-4d8a-a5e6-8b4a6add3c68,97fa50be-01b2-4a4f-9c47-0eeb3e21cd18,WH-WEST,shipped,2026-07-09T23:41:30,2026-07-11T15:07:56
67c2bb22-2300-477e-83ea-83f18cc09aa6,78cb0787-1720-471e-a05a-32c04f70132a,WH-WEST,shipped,2026-07-30T13:31:47,2026-07-31T15:30:19
aaf72c7b-0a3e-40d7-a56d-63a443a81d95,71ac8b68-d6ef-432c-ba8e-cfdc4ebb38b6,WH-EAST,shipped,2026-02-25T07:39:10,2026-02-26T07:13:35
ae5aabfe-11ad-45ba-96b7-b8a220ea3e63,b4ef3add-ced2-4795-9146-aef39ad48a81,WH-EAST,shipped,2026-04-15T11:19:08,2026-04-16T19:08:21
94ca9efd-f42f-48d5-9b82-8f7f20f86c94,9f30001e-546c-4445-b1fd-6c8718388ef0,WH-WEST,cancelled,2026-03-04T08:36:56,
5ce93ba8-b51d-4fd3-af37-d3d523c5228b,475a8ad6-d8aa-4a17-8047-dfbdb3a25822,WH-EAST,cancelled,2026-07-10T03:42:37,
c8f618c8-3835-41bd-aedf-252e1e6041b3,ac032b7a-4f23-450e-a4d1-f030ac384f68,WH-WEST,shipped,2026-05-21T12:58:00,2026-05-22T07:52:28
cac5a14a-e9fc-4abd-956e-a34188c3daf6,d464285a-9f24-4852-b084-eef52e281cc2,WH-EAST,shipped,2026-02-27T10:51:25,2026-02-28T19:11:07
d0feed84-2b4b-4d21-9733-e458cee619fa,c57a63d8-6a8a-4d78-82e3-eb7e426c34b8,WH-WEST,packed,2026-06-04T07:36:55,
c4234eab-6a5c-4ffe-80b4-bed5f29c0695,ff975f45-0642-4955-b4e3-591efb9ec864,WH-WEST,shipped,2026-06-09T13:59:47,2026-06-10T14:28:22
5fa67f1b-44e1-4b30-bd3c-cc7102185829,5b6dcc44-3266-4809-9242-b528f04cd566,WH-WEST,shipped,2026-07-09T09:58:29,2026-07-10T21:17:51
29cd6cf5-7f15-42d5-8d2c-55e146c79209,c69dbb95-6574-4632-91a9-87ebcdca6894,WH-EAST,packed,2026-07-02T16:53:42,
30a9b244-131a-4fc0-94c3-c5a533c4240f,abb786fa-90b0-4ac2-8ccc-29f2b67381ef,WH-EAST,shipped,2026-02-20T22:16:37,2026-02-22T03:16:36
c6390485-3776-4ccf-b826-4e48006473bf,f41c0386-5952-43b8-ad5c-3a317d992a0b,WH-EAST,cancelled,2026-03-03T08:09:25,
0cdbe6db-7e0e-4c83-a859-7538e9a34744,63b34c6c-5627-45ca-9755-20ec5b186896,WH-EAST,shipped,2026-04-19T23:16:20,2026-04-20T22:53:14
754ac1eb-448a-4e81-b8df-727c54bd76d8,ec8caff4-aa6c-4804-b81a-de9ca4ec5b80,WH-WEST,shipped,2026-05-10T14:29:42,2026-05-11T18:14:34
eb5b53b5-ef8f-447b-a957-02f3052a28c1,58da401e-9e8c-42c3-b22c-5e4e80d05671,WH-EAST,cancelled,2026-05-18T06:45:58,
342fd21e-c522-40d6-8a95-1b12cff2e156,03267644-c31b-4e7b-b6bb-000350caec96,WH-WEST,shipped,2026-05-25T20:00:08,2026-05-27T19:48:27
3dd6b9f5-c1fa-488b-b8f0-9f96b7b7e305,e48f9f64-adb3-4286-9ade-f4dd8f2abd7c,WH-EAST,shipped,2026-04-08T12:13:14,2026-04-09T04:44:51
6b2dd66c-b81c-4ae7-815f-1bd085eb8e99,0f61e28e-7a75-4a43-9adb-42c84c77d741,WH-WEST,shipped,2026-04-07T02:10:10,2026-04-08T08:57:57
2cbe28c2-f3e5-4f1b-bc28-2ce3b8b66b7c,c4bf1fca-d874-4ab0-ab5e-9c6e819f7d25,WH-EAST,shipped,2026-06-01T18:58:55,2026-06-02T19:52:08
c0327adf-d914-492a-bcb1-da1fa929fc44,9fcc9915-a7ff-44c1-8d0f-59f1a67ca6cb,WH-EAST,cancelled,2026-08-09T01:37:58,
0116d532-8a01-499e-8087-a1084d3f0387,22f3f369-c0e7-4646-91a7-f308c385d8a7,WH-WEST,packed,2026-05-17T13:02:19,
046517b3-28e6-401b-b930-522b0d536b07,07a77e4d-c633-4662-8ec9-5ca617650869,WH-WEST,shipped,2026-08-06T11:32:22,2026-08-07T17:11:29
