id,employee_id,work_date,clock_in,clock_out,hours_worked,status
aaadafb7-bd87-4017-9bae-e1a53d7996e7,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-07-28,2026-07-28T08:35:02,2026-07-28T15:38:38,7.06,approved
c52839f9-7a20-44c6-97e6-b15732ae2e1c,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-07-29,2026-07-29T08:20:54,2026-07-29T16:49:42,8.48,approved
35364a87-2ac3-4b17-adc4-3eb9cd11acea,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-07-30,2026-07-30T07:51:26,2026-07-30T16:03:26,8.2,rejected
c5f66963-ffb5-4057-b3d4-d2946a7cf509,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-07-31,2026-07-31T08:44:33,2026-07-31T16:45:45,8.02,approved
e1ece53e-c4e1-41f5-9258-eb91d744ee7a,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-08-03,2026-08-03T08:07:51,2026-08-03T16:12:03,8.07,approved
9ecb6988-358e-4bbd-a7f4-fcade8c5188b,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-08-04,2026-08-04T07:48:49,2026-08-04T14:28:25,6.66,submitted
f929a19e-dba5-4fb2-a686-874bab053cd1,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-08-05,2026-08-05T08:54:25,2026-08-05T18:23:49,9.49,approved
0d85c060-9989-4c84-a8c8-06a3f90fddf5,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-08-06,2026-08-06T07:40:20,2026-08-06T15:43:20,8.05,approved
48879a3e-4e30-4a74-97ce-57cd232cc7bb,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-08-07,2026-08-07T09:25:14,2026-08-07T15:50:26,6.42,submitted
3515bb17-a417-434e-99fd-9149bf8aa1c3,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,2026-08-10,2026-08-10T08:33:01,2026-08-10T14:58:49,6.43,rejected
03163c83-89b9-427b-a2e9-b56e7ed81e00,c74e16da-2083-466d-8a10-8566f892b662,2026-07-28,2026-07-28T07:33:04,2026-07-28T16:58:52,9.43,approved
80b0f6f9-4511-4838-900d-f89c47f654fe,c74e16da-2083-466d-8a10-8566f892b662,2026-07-30,2026-07-30T08:00:15,2026-07-30T16:08:03,8.13,approved
3f6dd2d4-2359-492a-bbb2-67e85fe0c3fb,c74e16da-2083-466d-8a10-8566f892b662,2026-07-31,2026-07-31T07:34:34,2026-07-31T15:45:58,8.19,approved
58fd3737-3b49-4024-9aae-ff11cef8ccd0,c74e16da-2083-466d-8a10-8566f892b662,2026-08-03,2026-08-03T07:58:27,2026-08-03T15:59:03,8.01,approved
f652dc0b-5047-48c1-a98e-5903cb1b9363,c74e16da-2083-466d-8a10-8566f892b662,2026-08-04,2026-08-04T07:43:25,2026-08-04T15:58:25,8.25,submitted
878592bd-a9e6-4be7-ac84-514b64534018,c74e16da-2083-466d-8a10-8566f892b662,2026-08-05,2026-08-05T08:56:57,2026-08-05T17:13:45,8.28,approved
20f138af-048e-4219-ab21-d85afd48a80a,c74e16da-2083-466d-8a10-8566f892b662,2026-08-06,2026-08-06T08:10:15,2026-08-06T16:29:27,8.32,approved
891827b3-35b7-4818-b988-a555db633a5e,c74e16da-2083-466d-8a10-8566f892b662,2026-08-07,2026-08-07T08:00:11,2026-08-07T17:25:23,9.42,approved
e9d2aede-dda8-4764-b1f0-c9e9ba23f5e2,c74e16da-2083-466d-8a10-8566f892b662,2026-08-10,2026-08-10T07:40:52,2026-08-10T16:41:28,9.01,rejected
92c6da69-6bcb-4c1d-9942-2349d0a762de,6f0feb58-8d2d-4291-9db5-d43d58eb597d,2026-07-28,2026-07-28T08:10:55,2026-07-28T16:38:31,8.46,approved
c61ec3e8-6995-4d49-9b89-88a4a604937c,6f0feb58-8d2d-4291-9db5-d43d58eb597d,2026-07-29,2026-07-29T08:06:59,2026-07-29T16:33:59,8.45,approved
49572a37-9a77-4f16-ae2c-d9fd7211f6a5,6f0feb58-8d2d-4291-9db5-d43d58eb597d,2026-07-30,2026-07-30T07:32:00,2026-07-30T15:59:00,8.45,approved
b38b8451-706b-4678-919d-cc96cb9f77cd,6f0feb58-8d2d-4291-9db5-d43d58eb597d,2026-08-03,2026-08-03T07:57:56,2026-08-03T16:09:20,8.19,approved
