id,session_id,event_type,occurred_at,page_url,product_sku,search_query
c29397ba-0911-4ca4-9f83-f79337d824cd,586a0a07-5203-40d5-989a-6073c701062f,product_view,2026-06-20T12:16:53,/product/bev-002,BEV-002,
b60d637f-8944-4b8b-8ef1-248f561b2cbf,95e84812-693b-47fa-a2af-c36317a20401,page_view,2026-05-31T00:17:04,/account,,
2796b8eb-c4d8-40c7-9bac-5f216771bdae,37b29bae-6b0f-438f-aeb5-971856c1627a,page_view,2026-04-30T10:08:37,/search_results,,
eba22851-a2b7-4a09-8e21-4cc3fc4dc0df,a267f8d6-111f-455c-be2a-09b5374567c3,product_view,2026-07-09T07:57:14,/product/jaf-001,JAF-001,
0d1acd31-0374-47a8-beef-9dddab7776dd,c727bbb3-a806-42f7-9531-b827a8cee977,search,2026-04-30T14:17:15,/search,,jaffle
f9fea5bd-141b-4cf8-b776-a2a62c8d490d,bf17f755-9ca8-4ecd-9a67-ad654167815c,page_view,2026-02-25T16:21:16,/home,,
b2d2b94e-8116-4144-af7f-77e474a241a2,30903081-fd92-43db-9527-7ec30e52c8c2,page_view,2026-07-24T18:00:11,/account,,
55d9dd60-1b33-4d19-821e-c052adeb7460,64be49a8-36d4-40d4-a558-8cd6ea309dce,page_view,2026-06-05T08:09:34,/account,,
4b95d2fc-75d5-4ba7-a831-11f9e649c8cd,140c7ec1-3f21-4f00-826c-fb60f9ced636,product_view,2026-02-17T02:27:04,/product/bev-001,BEV-001,
0c786035-1d4c-449d-97f4-1a11693c7b46,0153703b-2c11-4105-9d09-1fcf2b5c85ec,page_view,2026-06-20T15:11:31,/home,,
14344290-fcfa-41b0-ad83-4ff8681e68a8,9d821254-7a1c-4de7-a969-24f638b97364,product_view,2026-05-25T01:59:11,/product/jaf-004,JAF-004,
f2f92dec-cf2a-41e2-8091-f03191f10cf2,28a5614c-3bc1-4327-8b3c-5b4552a4e52c,page_view,2026-08-07T17:19:14,/cart,,
a6429d20-157f-4c7c-a108-a02e28501e08,34a4c9f2-0124-41f1-8c04-aab872387643,product_view,2026-02-20T04:03:01,/product/jaf-001,JAF-001,
10dbf177-7c64-4ed5-afa7-2c516a1741c3,033299a4-80b5-40e4-8690-f18eaaefe981,add_to_cart,2026-07-25T02:04:57,/product/bev-005,BEV-005,
2a279416-9852-467c-b8b6-4e1e3083771c,f03c0d06-6391-49b7-8537-927c5b15485b,product_view,2026-02-27T22:44:37,/product/bev-005,BEV-005,
0f4e6af1-60a5-444b-bd0b-c9e80fb50d10,a936895b-d790-4b5a-bb3a-bec39439c922,product_view,2026-07-31T20:00:13,/product/bev-002,BEV-002,
aac7ec07-6945-4ad5-bc1a-743a77664d9c,287342b6-3727-49a9-9f5b-e14b903eb1e4,page_view,2026-02-27T14:07:54,/category,,
024c5776-22a9-4b2e-a039-d5aba623c543,324feb7b-ad85-46f7-b761-800ba0184db2,page_view,2026-05-25T02:23:56,/cart,,
05959dfb-e629-42e0-8969-c325e686edc0,31071289-23e4-4f88-bfb7-03447a663156,page_view,2026-03-10T21:38:12,/category,,
c71368a7-8209-4f63-aa47-d2c75da783b0,f4012a96-77c3-4106-8ff2-659ac30b9e81,product_view,2026-04-12T13:56:02,/product/bev-004,BEV-004,
2c4254f5-9233-41c5-9d61-579b6ee73752,bf17f755-9ca8-4ecd-9a67-ad654167815c,product_view,2026-02-25T16:41:40,/product/bev-001,BEV-001,
0e68eb64-f051-4e29-9103-b6d30ecbebda,468b8f9f-7c8c-4253-871f-81a25abf98dd,page_view,2026-06-29T13:07:50,/account,,
815eb0e8-a440-4d22-b557-4d4a7ea9cf83,fc2a6126-d3fd-4a7f-b132-66c58820f521,search,2026-06-04T07:45:38,/search,,gluten free
4687b9fa-2c78-45e8-8fea-ba9f376ccbaf,61069086-fac4-406a-a2ff-f4262b1507ba,page_view,2026-06-16T21:29:39,/category,,
39858299-ed0a-4cf2-b523-6cc101498390,0a560dca-c675-422c-ac1e-132a49a90b6e,page_view,2026-06-11T18:40:55,/category,,
0a24d04f-2233-4b37-bd95-fe20ad56c5d8,446f9797-1799-4803-8468-21237bd34aa5,product_view,2026-07-10T09:17:28,/product/jaf-001,JAF-001,
e4c052c1-ef2c-4ffc-aace-be170c9d5d40,6eacc2b8-f6c2-4334-bc99-3d26411550f9,page_view,2026-04-08T18:31:15,/product,,
6c89279a-5185-42a5-b252-193e84469c45,6f3b9cca-6c32-4caa-b06b-2f875acae5b3,page_view,2026-07-23T23:51:47,/account,,
72c02116-f8ac-4824-a6b3-9fb8c955007d,5d8886ad-5edd-4082-9823-29570c22c81a,page_view,2026-04-13T19:51:01,/product,,
dc94678b-870c-4d81-b703-05e60ede1ccf,d8f71355-a894-418e-8de6-9c5c85b4c2e0,page_view,2026-04-21T06:31:14,/account,,
1529026f-84b9-493a-9ed1-bd23bfb6aa62,a91057b3-24c4-4730-8430-63689a0df72f,page_view,2026-03-14T13:22:34,/search_results,,
28006fb2-1d7c-4239-982b-67bf61b2899c,f4f7913f-12cf-4853-be8d-68c8b0203d42,page_view,2026-08-07T06:00:57,/cart,,
33429fc5-e39a-4ab3-a9aa-e5e5acae2872,a4767c65-2e2a-4bbe-87f8-06042df3a327,page_view,2026-07-05T08:46:32,/account,,
966e4eb8-45d5-4c33-b590-e3ddf14b075a,8c0833ce-1775-4630-88ab-560d9dd22674,product_view,2026-04-02T19:54:59,/product/bev-005,BEV-005,
424828b4-66a8-4e47-9d23-b66617748b7b,11a6b7ba-ff5d-4147-baef-53e09be86c8e,product_view,2026-05-15T17:47:58,/product/jaf-003,JAF-003,
3bbcd998-cc70-4812-8283-074bc86a0516,6177cc0f-dc9a-4582-9e57-47862bfa256d,search,2026-06-08T18:14:17,/search,,chai
b2fd9c86-216a-460d-bdd3-b4242ea2bf32,380b5e9e-39c9-4ea4-91e2-9dac29670de3,search,2026-06-06T13:47:05,/search,,smoothie
72cd97a0-8874-48f5-a479-906d626d223f,b298fa79-1213-4589-bfc0-5c85062cf20d,add_to_cart,2026-07-20T19:43:58,/product/bev-001,BEV-001,
