id,customer_id,method_type,card_brand,last4,expiry_month,expiry_year,is_default,created_at
aec8d508-5423-435d-a8cd-29206ee21d20,0206c59d-8464-4845-9680-9463df25efd9,debit_card,discover,8225,12,2029,True,2025-01-30T15:52:26
8fd76cd6-f659-4816-a00d-6bd6e5d470b3,02c02023-75d2-4ad2-89f6-ed2c2e7ae6f5,apple_pay,,0511,1,2027,True,2025-07-30T15:52:26
fa171907-494d-4ac6-8186-9b933d2d90b9,0313557a-f7d4-4834-be26-3977f30a5235,paypal,,0918,3,2026,True,2025-07-14T15:52:26
a76f8fbb-d784-4d25-a7ca-11b95f26641d,04edb858-b8d9-455a-a1f2-f236df11a91f,debit_card,mastercard,2073,3,2028,True,2025-02-13T15:52:26
e7deedd7-6958-480b-a409-2ac0e317ec07,05e61dfb-4365-41c3-8f86-f9b259998765,paypal,,8381,11,2029,True,2026-05-22T15:52:26
c306db89-dc6c-4059-b275-0de5f37b7edd,05f69a50-2703-4591-a792-14e2e5994b43,debit_card,visa,9060,7,2029,True,2025-04-24T15:52:26
d6d4f2ba-f904-450d-8774-058efee834db,066ca82d-85b8-45e6-b262-bac0bb3c0e21,debit_card,visa,7330,11,2029,True,2025-11-23T15:52:26
80a463fe-3944-4aca-a740-c843067c954e,066ca82d-85b8-45e6-b262-bac0bb3c0e21,paypal,,9702,4,2027,False,2026-04-27T15:52:26
e940c204-64e6-4146-b1dd-cdbe0fd83f60,0688ed48-bbd7-41d6-b5ef-c2cd771f72c2,credit_card,visa,7834,7,2030,True,2025-08-16T15:52:26
027e3433-46b0-4324-9fc1-c32dfcc30a89,0815e683-4b1e-4ea3-b9e8-9d06bbfaedb5,credit_card,discover,6831,3,2027,True,2025-12-26T15:52:26
ef35ed63-e056-4ca8-8a92-dbb9d2d16f8d,0855291e-0a0d-4e17-931b-beabbc173f85,paypal,,5986,11,2027,True,2025-03-19T15:52:26
c1422be7-3151-4d64-bc93-3f7dc97b123d,0855291e-0a0d-4e17-931b-beabbc173f85,debit_card,discover,5758,3,2029,False,2025-12-24T15:52:26
3d5c97d1-16ed-4e55-a6a2-8a88cf3e1e89,0872893c-bf01-4853-b91f-a1cc0263fedf,credit_card,discover,1081,7,2029,True,2026-04-29T15:52:26
16af2a10-655c-4050-87c1-a900045b30d6,090fb913-1317-4169-b150-64e304451d38,apple_pay,,3750,8,2030,True,2025-11-16T15:52:26
43187d32-d259-41a9-91a4-2ded28441aa4,0a34659d-f0b2-4bdb-bf92-759aea838e90,debit_card,mastercard,7688,8,2029,True,2025-11-25T15:52:26
a704ca26-1e78-40cd-a26f-0becff013eed,0a34659d-f0b2-4bdb-bf92-759aea838e90,debit_card,mastercard,9198,6,2027,False,2026-01-14T15:52:26
9142e2af-6844-42ac-9926-602d6e13bf45,0a42e609-2a53-4824-bf02-0088bdb9b149,apple_pay,,5273,12,2029,True,2026-04-10T15:52:26
ba23989e-4122-4bd0-81e5-cbd89ebb5bc6,0abcb3b4-7e1c-4638-a21c-af1df3702f27,credit_card,mastercard,9237,2,2031,True,2024-10-09T15:52:26
da41d79f-1800-43e1-a767-71dc66264676,0abcb3b4-7e1c-4638-a21c-af1df3702f27,gift_card,,6158,6,2028,False,2026-01-04T15:52:26
83f24b45-8f73-41f4-b7c8-50c4434f475c,0c7084bc-19a5-4ad6-bb26-a25f9c09b324,paypal,,9335,10,2029,True,2025-08-09T15:52:26
2cb498c2-8b8f-4889-ae17-584362783b2b,0e4dbbf0-e4a8-4015-9595-c0b9bec0f9e5,debit_card,mastercard,9073,12,2028,True,2026-04-17T15:52:26
6c9e7840-b7d3-4664-bb7b-7af82940bcfb,0edeaba5-35f3-4e68-98ca-f412d9cd14b5,gift_card,,6204,7,2026,True,2025-05-02T15:52:26
0a8e011c-6562-49cb-b43f-250e0cc43cfe,0f1df561-31c0-417e-909b-4b054c45baaf,apple_pay,,7865,3,2031,True,2024-09-30T15:52:26
da8fcf67-de93-4e9a-a703-6a904db160ec,0f1df561-31c0-417e-909b-4b054c45baaf,apple_pay,,3570,10,2028,False,2026-05-24T15:52:26
9b33b9bc-8527-4ec9-a6b9-ec9074d4c8da,0f708081-5838-40db-84a9-ca8b6845336f,apple_pay,,9107,1,2030,True,2024-11-07T15:52:26
09d4bcec-b93c-401b-b1b0-cbf620f8b465,102e02b0-7f44-4058-881f-7896edc964b2,credit_card,amex,4306,2,2029,True,2024-12-03T15:52:26
c544d179-ac1e-48c5-aa43-bd3b9cc15f8b,102e02b0-7f44-4058-881f-7896edc964b2,gift_card,,0796,11,2026,False,2026-06-15T15:52:26
cd69af1d-4a46-41a3-a4b9-c5c941190404,10d7cb3c-5a86-4eae-9da6-611ddf67fdd8,gift_card,,0514,11,2029,True,2025-01-30T15:52:26
21484f3a-367c-408d-9921-6c47639eb397,11498734-cebc-4784-a055-6bd08a18f1dc,gift_card,,1716,7,2029,True,2026-07-13T15:52:26
b1d3c008-9d5a-4b38-8769-0fc636527195,117583ee-3cd8-4690-89c9-d804aedc86a8,gift_card,,0854,7,2030,True,2025-05-19T15:52:26
d9a2d1c3-9fe5-425e-85fc-883a2f5b13b2,117583ee-3cd8-4690-89c9-d804aedc86a8,debit_card,visa,6651,5,2028,False,2025-12-30T15:52:26
ff2fcdad-bc19-4d10-80a5-82c4c20e42c6,117c9a65-4a4c-494f-8a54-64305d57c551,gift_card,,6249,5,2027,True,2025-03-17T15:52:26
0f311da3-0d09-4cf4-bb72-f058fe05e5c8,120d57b9-de14-4717-aefe-ab126645435d,apple_pay,,3839,12,2029,True,2026-06-05T15:52:26
6cfd0f1e-df23-4923-b2b5-e21892f5c478,1233e680-06d7-4b38-8c6e-796ef158556a,apple_pay,,4820,3,2027,True,2025-05-29T15:52:26
2e3acdd9-f9bf-4ba7-b8ae-46a10f45142e,132425e2-d22d-43aa-a372-e3d9bfd77f8c,apple_pay,,5881,12,2031,True,2025-11-09T15:52:26
10ae27c6-5601-4493-a3c5-e9b8a524de44,1380e029-b899-4413-a8da-0741720a6a06,apple_pay,,2140,10,2027,True,2024-11-11T15:52:26
88ca6cd0-37a4-4a7c-911e-da87af00545a,1435b563-f156-4cd8-9f3d-6224260e26a4,debit_card,visa,6077,9,2031,True,2025-03-07T15:52:26
9dec63d0-7170-4fc6-a61e-7ff03ae38e99,1439dc05-4ab9-4995-90c7-d9437ae94f50,debit_card,amex,5301,2,2028,True,2026-02-01T15:52:26
19a09d71-51e1-41ea-97ea-b4c114d29a9b,14dec3ce-7570-4c3f-af8c-e9c0d74cfcd2,paypal,,6599,7,2026,True,2024-10-01T15:52:26
af7975ce-a21f-4e42-9a61-d6cd3d181d27,15aeedcc-eed4-453e-850c-7f876e54c4ab,credit_card,visa,8695,6,2026,True,2025-07-09T15:52:26
2cd4e429-9b22-40c2-bcb5-dbad71a34bc1,17e24a9b-119c-4ea7-a53a-bb757c70ad0a,apple_pay,,9699,3,2027,True,2026-03-13T15:52:26
dd87ca98-230f-407f-942b-3da7b72df58f,187d49e0-634f-4e10-a10c-3b0be7408be0,apple_pay,,6329,10,2028,True,2026-01-21T15:52:26
74b4549e-f77b-4053-8470-ac33e7821bb7,189edb91-3f25-4f32-bfb4-64bd4052cb1c,gift_card,,4962,3,2026,True,2026-03-06T15:52:26
0a8fb50d-a9a7-4fa7-9c9f-b3e1e6f624d4,1922f6f3-ba06-4233-8d88-c1a9303a6a2a,credit_card,visa,5388,5,2028,True,2025-02-08T15:52:26
21e12756-77a1-454e-ae96-b75b1a8c05cc,19a47a26-3ca3-42d2-9e2d-8da79f09b587,credit_card,visa,2263,5,2028,True,2024-11-25T15:52:26
301be7a1-6caa-4e81-a1c6-7380f7255707,19a47a26-3ca3-42d2-9e2d-8da79f09b587,debit_card,discover,7845,8,2029,False,2024-10-27T15:52:26
90fb779e-f874-4fbd-8845-04c4d101a1f7,19a91b0b-51dc-434f-978a-177588409f99,gift_card,,7261,7,2031,True,2026-03-18T15:52:26
e59c8131-faf7-411e-88cb-ce54dcfcb4d1,19fee9df-73a9-41e9-9777-18d2a79ab8b4,gift_card,,0585,2,2030,True,2024-10-06T15:52:26
e5238cd2-e4a9-4954-a783-99ef2eecd414,19fee9df-73a9-41e9-9777-18d2a79ab8b4,debit_card,mastercard,7885,12,2031,False,2025-08-19T15:52:26
4b8df9c7-ed4a-4caf-bba3-06661cfea140,1bcdbd0d-0e2f-4fdf-a8d5-214d3b49c7e2,debit_card,visa,5777,6,2031,True,2026-02-19T15:52:26
0bd2f743-ae2d-4969-beb2-213b9bb7084b,1bcdbd0d-0e2f-4fdf-a8d5-214d3b49c7e2,apple_pay,,2875,8,2028,False,2025-05-29T15:52:26
61d31226-ac80-48f0-ad65-b4c74b2a98f2,1c3dc001-75eb-4fb9-b3ad-59a3be5b31ac,apple_pay,,7099,4,2028,True,2025-11-19T15:52:26
