id,return_id,sku,quantity,condition_reported
0108c043-da1b-4201-8c6b-3067df4fbcac,be19b4aa-1f08-40f8-9ff5-6923abf93f3b,JAF-001,1,damaged
9e610150-d59b-47ee-8800-10c493ec0263,1c4b18d7-fc85-4891-84cf-0da3ec011e86,JAF-002,2,opened
3c72b4ce-b8d2-4c39-8ae7-bcbd85580f4f,1c4b18d7-fc85-4891-84cf-0da3ec011e86,JAF-003,1,damaged
e9d6943f-18c4-4407-bfa1-db3b88a26b9e,a0519d9c-cafd-4817-8421-2165a7b382d6,BEV-003,1,opened
825dfde7-7c90-42a2-8fd3-d3015b1f1fc6,87231695-2bab-4640-a628-d5ccd59408d6,BEV-002,-1,opened
017bc9b0-08a3-4b54-b85e-394dafbe2b45,bcc27773-304b-4705-b787-63844b266b39,BEV-001,1,damaged
06f5a69e-6951-4dbe-9f7b-48a30f7bb881,e767823d-d623-4991-8816-0041428fc18b,BEV-003,1,unopened
c242459d-8811-4fc6-8d2b-1e0259e917d5,ad5d56a5-c3c3-4288-abfa-c3f639e35d42,BEV-003,1,unopened
67f556b8-8e7d-4cba-be28-ecc9ff56d7f6,e9f20000-5a6e-485d-9700-126f3efc245a,JAF-002,3,opened
386dfabb-9a9a-4199-a653-1ae7f6b7619f,e9f20000-5a6e-485d-9700-126f3efc245a,BEV-001,3,unopened
63bc9ce1-114d-495d-96a7-573598e5af58,a49b3397-b96d-4c62-8d66-9098b5e2618c,BEV-005,1,unopened
5181fd1a-d858-4fd1-908f-4d46a8235b4f,a49b3397-b96d-4c62-8d66-9098b5e2618c,JAF-001,2,unopened
db7e5a5d-2ce3-45fd-9824-a6e056bd8cfc,deb99b1b-79fa-4c07-83b0-7081183e19ef,BEV-005,1,damaged
1edfd505-a178-46ae-870e-66926cd7200c,38596209-1066-4bf2-8b92-3cde92eda0d8,JAF-005,1,opened
2554c214-9565-42c1-8d9b-6ac3efa379ab,38596209-1066-4bf2-8b92-3cde92eda0d8,BEV-005,1,damaged
12147e1b-ef57-4a3a-877e-d4efb47a2da2,c7795ed8-32e7-43ec-8702-6c644ef0912b,BEV-005,2,unopened
99c99ede-cc1b-4c57-a7cd-63d098fbb6c7,c7795ed8-32e7-43ec-8702-6c644ef0912b,JAF-003,1,unopened
87b9784a-2564-44c3-976d-72327b8d53c6,0a57dd5f-df56-471a-ba6e-dc61336ae860,JAF-001,2,damaged
62afe34d-c91e-4a40-8d7e-1acb9fccae42,94d98431-551a-4ba5-99c2-7835727e1659,JAF-003,2,damaged
1c5bf778-86f7-4ffb-9f71-f56e9a282bf7,94d98431-551a-4ba5-99c2-7835727e1659,BEV-001,2,damaged
