id,cart_id,sku,quantity,unit_price_cents,added_at,removed_at,is_saved_for_later
e09f3518-0398-49f8-81ab-d5d0f871415a,95db1e0f-4794-446a-a917-08a485367f7a,BEV-001,1,600,2026-04-24T18:48:41,2026-04-24T19:00:41,False
4c69c503-a4a4-4966-bc6f-a7e4e9af14d6,95db1e0f-4794-446a-a917-08a485367f7a,BEV-001,-1,600,2026-04-24T18:57:41,,False
a6ad5c46-759b-4fbe-bb8e-f7015410869e,95db1e0f-4794-446a-a917-08a485367f7a,BEV-003,1,600,2026-04-24T19:15:41,,False
983df383-e7a9-487d-86b6-550ebafb3e37,8d05bcca-5895-48d5-b607-44c11082ab38,BEV-002,1,500,2026-05-12T03:50:40,,False
cde188a1-89e4-44a7-a73f-29275055d1aa,f4f00938-40d4-4e00-bca0-5ff8ed59006a,BEV-004,1,700,2026-03-09T00:18:40,,False
c50e97d2-fcaf-4842-9f6d-3be43def4cda,f4f00938-40d4-4e00-bca0-5ff8ed59006a,JAF-004,1,1400,2026-03-09T00:31:40,,False
f5273bb4-557a-422f-a8d1-ec1aeff3ceca,f4f00938-40d4-4e00-bca0-5ff8ed59006a,BEV-004,1,700,2026-03-09T00:49:40,,False
f829151f-f2b3-454b-a1c3-f2b22d0ff1ed,f4f00938-40d4-4e00-bca0-5ff8ed59006a,JAF-001,1,1100,2026-03-09T00:53:40,,False
92d63785-fb22-4618-85de-c38c4d50b780,1c5636cd-0858-4d62-b332-1ce1caab23f1,BEV-004,1,700,2026-03-22T07:46:46,2026-03-22T08:01:46,False
96fa28eb-b433-40ea-9366-771402f60b16,1c5636cd-0858-4d62-b332-1ce1caab23f1,JAF-001,1,1100,2026-03-22T07:47:46,,False
996cc0c3-e08a-4fb2-8785-695970106476,0fbd7230-f403-4fe5-903b-03a6f04c09f7,BEV-003,1,600,2026-03-03T19:43:15,,False
95099b93-c285-419a-a0df-7b91eb70b72f,c879f9e6-3b57-43c6-84d0-3ebdb83e09bf,JAF-004,2,1400,2026-03-18T14:47:48,,False
b4f73d6c-5ca7-42e2-aa6a-933e88e1bd34,5649e6b8-ea45-497c-8bea-e182b9b739e1,BEV-001,1,600,2026-03-07T09:13:26,,False
3a267b82-b196-4f0e-b8f1-d807493ad5b7,5649e6b8-ea45-497c-8bea-e182b9b739e1,BEV-003,1,600,2026-03-07T09:22:26,,False
b49b89dc-cd51-411f-8054-43ecfc85a115,b88a7be5-c478-4643-8a6c-946986a22e7c,BEV-005,1,400,2026-03-21T02:08:23,,False
c26afae1-babf-4387-9ee0-db7da27dc0c7,b88a7be5-c478-4643-8a6c-946986a22e7c,JAF-005,2,1200,2026-03-21T02:20:23,,False
e8895ada-6018-41c9-bd3f-eed7ccdee41a,b88a7be5-c478-4643-8a6c-946986a22e7c,BEV-001,1,600,2026-03-21T02:27:23,,False
187f7d98-5be7-4305-bac6-270f9602f949,0e9183c6-8488-4cd3-b280-3746c48cfbf8,BEV-002,1,500,2026-07-17T09:56:22,,False
ebb4c04a-c5e6-4994-88f2-3b7893eff4a3,0e9183c6-8488-4cd3-b280-3746c48cfbf8,BEV-001,1,600,2026-07-17T10:01:22,,False
1b6729f7-21f5-4ed0-9a9d-ddf22045744f,18d5c6fb-ad50-42f6-8902-a56bb4f8523d,BEV-002,1,500,2026-04-13T23:21:38,,False
0284ed65-f066-465a-b423-7a1a5c3744ed,18d5c6fb-ad50-42f6-8902-a56bb4f8523d,BEV-005,1,400,2026-04-13T23:35:38,,False
0d518ae9-fe9e-41b6-aff0-06b89372ac0f,70ee0916-0801-4702-a10f-e89e22d53f4f,BEV-003,1,600,2026-07-21T18:11:55,,False
3b13194d-261c-4ecd-a2bd-3a465a39115c,70ee0916-0801-4702-a10f-e89e22d53f4f,JAF-005,1,1200,2026-07-21T18:21:55,,False
f4230e2e-0401-4f40-b4dd-ed4b13fb7d71,70ee0916-0801-4702-a10f-e89e22d53f4f,JAF-002,1,1100,2026-07-21T18:25:55,,False
3ee4e707-f79c-47e9-8bff-99b9e365bbe1,c9db7d82-d606-4406-bbd1-0964ecbe6cbb,BEV-001,2,600,2026-04-02T23:49:18,,False
c235b2c1-b915-4b9d-a064-15e16526aba9,c9db7d82-d606-4406-bbd1-0964ecbe6cbb,JAF-004,1,1400,2026-04-03T00:00:18,,False
9578f2a0-7a5a-4535-97b6-48d8b41fae74,01bb7a74-454f-4c93-92ed-cdf78ee6c09f,JAF-003,1,1200,2026-06-03T21:12:26,2026-06-03T21:37:26,False
d8c48c75-646b-401b-a2ee-639812ceaa83,01bb7a74-454f-4c93-92ed-cdf78ee6c09f,JAF-001,1,1100,2026-06-03T21:16:26,,False
2d2280a2-79be-4f0f-a130-94e718a087b0,77dd1caf-d180-47cd-b5bf-809006a5f649,BEV-005,1,400,2026-02-22T13:31:19,,False
484740e5-3718-4132-bf62-89eef56b35c1,77dd1caf-d180-47cd-b5bf-809006a5f649,JAF-005,1,1200,2026-02-22T13:41:19,,False
9a868405-8964-4443-ad00-55e6ee8d7f39,77dd1caf-d180-47cd-b5bf-809006a5f649,BEV-004,1,700,2026-02-22T13:52:19,,False
c4be5138-8c44-42f3-9728-414c5e7fbbf8,39383d56-7ec4-4e98-a648-980b7d2022c1,BEV-004,1,700,2026-06-16T13:09:35,,False
251ed380-76fd-4ddf-8e4b-ab9299216906,39383d56-7ec4-4e98-a648-980b7d2022c1,BEV-003,2,600,2026-06-16T13:14:35,,False
043712b0-9558-4743-91a4-d02d41c2fd19,39383d56-7ec4-4e98-a648-980b7d2022c1,BEV-004,1,700,2026-06-16T13:25:35,,False
f05f3b4a-a344-408b-84e6-6c315a491386,03260f88-9cb2-45f8-9097-3a545d926998,BEV-002,1,500,2026-04-09T19:12:43,,False
348917df-d86b-4c94-8422-99603f9c6d54,03260f88-9cb2-45f8-9097-3a545d926998,JAF-001,1,1100,2026-04-09T19:21:43,,False
29f0a5ac-2374-431d-aecc-de80a12be662,03260f88-9cb2-45f8-9097-3a545d926998,JAF-001,1,1100,2026-04-09T19:25:43,,False
5159bed4-ad6f-4356-99ce-292f55b1822b,c9414fe1-bb15-4bf8-97e8-d064ed9d7859,BEV-003,1,600,2026-06-07T14:33:52,,False
0b20a433-6df0-4a2e-9f33-9daa2f863170,faa9d7ce-7f35-48e0-9b0f-f4b89294514c,JAF-004,1,1400,2026-04-16T14:06:31,,False
3edf0975-d0f5-4002-b713-a2c94cf8a17c,faa9d7ce-7f35-48e0-9b0f-f4b89294514c,JAF-005,3,1200,2026-04-16T14:07:31,,False
7ff98153-e4d7-41ba-a244-2defdfb45981,33564ebb-f763-40d3-b8fd-1b687b3d12f3,JAF-002,1,1100,2026-04-08T07:14:35,,False
be2c59f5-2b5f-4fa3-ab45-632f74a6f8f7,d10d8b31-8515-4592-89eb-9763b4b5f313,BEV-001,2,600,2026-06-08T07:28:45,,False
0e845e81-d7d4-4f80-8855-9f120053cc6d,d10d8b31-8515-4592-89eb-9763b4b5f313,BEV-004,1,700,2026-06-08T07:47:45,,False
2f65a67c-22c2-4957-9487-711ef34db1db,d10d8b31-8515-4592-89eb-9763b4b5f313,JAF-002,1,1100,2026-06-08T07:59:45,,False
25a204d3-42ca-4cd5-b6de-dd263fc57d73,e7661f2f-2a33-434d-85f1-2980bcfd7d43,JAF-003,1,1200,2026-06-14T05:46:53,,False
ce9035b4-ef8d-44c3-af57-858e4e51e449,e7661f2f-2a33-434d-85f1-2980bcfd7d43,JAF-003,1,1200,2026-06-14T05:53:53,,False
91f2ca01-9b6a-4e94-b266-cf225d4fb245,6b5a3a1f-f967-4430-8da9-2043ca4abf21,JAF-005,3,1200,2026-08-07T19:51:38,,False
fba9b34c-8de7-406e-a50f-0dad1f97ed35,6b5a3a1f-f967-4430-8da9-2043ca4abf21,JAF-001,1,1100,2026-08-07T20:07:38,,False
8da700d6-c7b0-4bce-a863-e4f118ad595c,0871fe18-c666-4386-954e-c9d64755a430,BEV-003,3,600,2026-07-25T13:50:06,,False
