id,order_id,adjustment_type,amount_cents,reason,applied_at
e0694a6d-f3db-4db7-a37e-96c9cb31926f,bd9f4caf-3680-4345-b0dd-d693d8c968ff,discount,-105,Town strong story always short prevent.,2025-07-27T22:45:00
fa8c2e10-0be4-4835-9554-6b141f27ce84,791a84ea-a963-4e4e-bd2f-a6273cd3af37,tax_correction,111,Design throw low same store large.,2025-04-09T14:59:00
cc0d929b-fd50-4f79-a401-89209d9f1e01,b57d0437-e066-4bde-8fd0-6c1b8c16974a,tax_correction,63,Social fill task throughout.,2025-06-02T07:09:00
4dac6242-79b9-40d8-9bcc-1d424fd934e0,2d4af961-aa75-4fce-a531-010eabfb6d09,discount,-106,Best name two answer upon finish store.,2025-05-17T06:32:00
abf3b500-f91b-442d-b492-4cba93de2961,17fdb7e7-0ec1-4e60-b560-a407fe4e57e5,goodwill_credit,-564,Chair charge environment evidence art pattern wife.,2025-07-07T12:24:00
7c4fb914-c2b3-4845-b995-77ab5d8b4d9b,d882bf6d-bef1-4599-8977-baa48b2537c5,discount,-82,Front piece contain often question.,2025-07-07T13:14:00
3beaae97-bc52-48be-b4e6-ae586def9d7f,1c3e26e6-e90b-4d7f-b92f-dc219d9a569a,discount,-330,Memory so management art.,2025-06-22T02:11:00
130dbaf7-23ee-4cc3-b599-0022edb33cb6,e514ffae-a5bb-4c93-bdec-8990f73f9e64,price_correction,-82,Entire theory second plan.,2025-02-02T10:02:00
cf3c73db-84ba-42d4-9818-e168eb61193e,d9781e59-0cfb-4fcd-899a-6305cf0eabad,discount,-81,Cut bill gas learn keep take discover.,2025-08-13T04:13:00
4b2000a7-951d-44c3-a976-62b96b77d5d9,1bdc3afe-c970-4a3d-a072-5b2ba0cb1a77,tax_correction,-55,Put data person area capital.,2025-06-24T17:21:00
54d35edf-5cd2-445c-a28b-1810b3314a41,b376fc01-1a71-4dc0-a893-b6fb85885593,goodwill_credit,-78,Bar organization treatment including never agree upon hear.,2025-03-25T07:56:00
38905739-5303-481e-9643-edd8d4354cb6,1040037f-57a8-4a6c-bd81-fbfbe26308eb,tax_correction,-40,Inside end direction action life tough recently.,2025-04-10T21:21:00
76aabf0d-d5ab-48cc-8a26-bb73ee256235,193a1ba3-f214-4a62-ad91-176d98ef937f,tax_correction,29,Do either customer at thought oil guy.,2025-04-03T04:33:00
36de5050-cbc7-4809-83b5-ae8a2158b4f1,87c06c95-55ce-4da8-86f4-13479a93421b,discount,-190,Marriage result myself.,2025-07-29T09:00:00
450c679e-79fd-4fb0-b5a7-c6bdb6ed054c,4dc2c777-84ee-4c5c-85e6-fb962ff3e9af,discount,-205,Seat apply anything clear.,2025-06-12T03:02:00
38a72cdc-d05d-4e24-8e52-f9c759e4401b,bac5c26d-bda0-4a7a-98e9-f57ebe64d8e8,goodwill_credit,-218,Writer hospital mean.,2024-10-07T09:38:00
a2ac1941-7a25-4f1f-9b22-683800e311d6,becafeaf-107c-46c0-b610-44d4fb307500,goodwill_credit,-113,Something trial of recent science blood.,2025-06-10T12:35:00
86b2e8a0-24b7-4c10-a991-21bb009550e8,97e20d55-6fda-4617-96eb-e5ddf201c1e3,discount,-50,Clear name enter skin possible bag memory.,2024-10-01T21:59:00
158f9fd6-06d9-41a9-b6fd-59f5b236f84a,d5d8c4a1-b072-4743-9907-8ff12d4f979a,price_correction,-69,Number they defense minute.,2025-03-24T10:15:00
6b648dec-0d2f-43f2-85c0-57e8a44511b9,552ac968-8c9b-4fb4-8cac-49a9c6c214f0,price_correction,-170,Away win point value.,2025-01-30T18:30:00
64a4136d-5f10-4f5f-ab02-7f8e7d76542d,fe380e2c-22d5-483d-983b-da05ac210d49,tax_correction,108,General west give arrive.,2025-07-29T18:23:00
5887bf77-34d8-4a35-a24a-646a498e8864,5c9c5fc0-e828-4289-91f7-579ce1b3d331,price_correction,98,Level responsibility dark financial four.,2025-07-12T17:10:00
6c91a2f3-a266-4663-b37a-636f93a6b1c1,d66b88f9-c316-4681-8777-b253f065f35a,discount,-135,Must within in although onto indeed protect.,2024-11-03T21:26:00
7fa542e8-0e13-44e0-8b20-733edc6bf6ca,d33bc7c8-22a0-4867-9f37-65f5005ac213,discount,-147,Study kind do modern.,2025-06-23T10:54:00
238ada1d-59e1-49f3-943d-f459c7a9b110,9d7d9b1f-7ff8-4f3b-a637-4e7f6bd72880,tax_correction,20,Prove my loss why think forward.,2025-03-22T01:37:00
e8e9112f-acf4-4edb-872d-13fd8c4ef0f7,11e6516a-6286-4c32-b29d-fd3ee4a7ffb9,goodwill_credit,-102,Fear hundred serve then.,2025-08-16T05:17:00
4d627884-144c-4c61-8d75-278f64c6c38d,cd0386e4-cd87-4334-8703-dcb4a5353a4b,price_correction,-181,Seem plan culture PM important city forward.,2025-03-21T12:02:00
c75359b0-17c9-4c4d-bccd-cddd64b468a4,7458f32a-184c-43ad-9424-2004fdf1ed54,tax_correction,-189,Owner yard this light travel.,2025-07-05T16:11:00
26613ac4-5116-406b-b0b4-ae2d179890be,21828574-661f-481d-9a77-83bfc494022a,goodwill_credit,-92,Now get professional my want write.,2025-02-03T13:32:00
9f0d58ce-46ae-4b5c-bc54-bb71451ea79b,664be6b9-83bd-4cd5-9cfb-8688e1344713,price_correction,176,Make marriage discover stop push.,2025-03-29T11:09:00
574d769f-91be-49e9-878b-7dca7fcd4dc7,5ac0fc65-d4fb-4632-afa2-c546a9e08c21,price_correction,-76,Fear follow budget seek brother magazine.,2025-08-05T13:01:00
98d466a5-f368-468f-bc8b-1719cc159d2a,ddc9a9bc-2667-4c9e-9e40-0e88fa57a804,goodwill_credit,-162,Ask out loss laugh find lead knowledge.,2025-06-11T13:42:00
cef92877-68f3-44d0-88a9-8391f7e4b2f6,a4f5300c-b0c5-42f7-b085-326e23094725,price_correction,-25,Wide security start if land dog.,2025-01-12T06:13:00
5afe5afa-f31b-488f-ac53-90bbf678b167,78561457-0642-4e18-a92d-3140f5282d98,price_correction,-36,Structure available start.,2025-02-14T05:30:00
73e9d617-73a2-44e9-9867-ab8b07cf6eb9,d60cc311-f90a-4618-8c05-9a2ce3c9363e,tax_correction,-44,Pass finally poor key.,2025-05-01T16:52:00
5f051fc9-546e-4cba-8e4a-db5e606caec1,b825d377-9561-4680-a472-780ab79b309c,discount,-190,Tv free director business court its matter.,2025-06-12T07:39:00
7c09c787-475c-4f6c-88e5-299e4c1b9cce,5480f041-d0ca-4b1a-9a5a-b254f7b45f12,discount,-182,Race democratic room reach wonder baby available.,2025-07-24T05:00:00
dd6835a7-72a3-42a0-acf9-2a9e3e140a35,a2145f9d-20d6-4bc8-b472-d2aa865f7e11,discount,-153,Career prevent offer huge range answer.,2025-06-25T12:15:00
b32639ec-e760-4c4b-ad25-11c29891a9b8,d8e43ac2-bb1a-4d1c-94cb-ca077930e53b,discount,-88,Drive large range performance.,2025-07-27T07:46:00
c735053d-d7d5-4bb9-95e6-18b090409400,01fc1642-31bb-4a93-95b4-f8729d192b17,price_correction,36,Hand never also.,2025-01-26T23:02:00
1a75a0a0-ad0e-4f82-b299-91e8fcce9b0f,1f30dd00-fe28-44c0-8a36-c857a46b9483,price_correction,56,What above reflect range difficult.,2024-12-01T21:16:00
805c5e4c-548d-46f2-bef2-35ec31496940,e9907f00-d20e-4fee-88af-05639e9be2fa,goodwill_credit,-160,Morning authority election generation foot.,2024-09-30T09:37:00
93fc34b7-2020-455e-9c1a-d12eb7e4fff1,93092302-a829-4813-85e5-7234c64ae682,price_correction,179,Most so fear use drug kid.,2025-05-23T19:47:00
0c94ad60-ee48-4295-b1c3-aca3bb2a9f0f,c1f4a758-f39a-40a5-9786-42a15d070d6d,price_correction,114,Avoid attention subject nearly interesting back director level.,2024-12-09T05:50:00
21479fe4-8cdf-48e2-ab0b-fe82dd871ac7,f2a058eb-462e-42e2-b0ec-9d9f944095f3,tax_correction,157,It similar town letter.,2025-08-19T07:49:00
c2e7300f-c30e-47e3-a368-92a1babfb12e,e03fe647-0d0a-4860-a519-31c6a4225521,price_correction,-108,Fast deep campaign prove head.,2024-10-10T15:54:00
