id,loyalty_account_id,transaction_type,points,reward_id,related_checkout_id,occurred_at
2c7350b5-9ee4-4ffe-97a9-ed0610fd3cba,76ff50b9-de80-4187-9307-53dfff1888ec,earn,100,,,2025-10-09T16:42:10
e2d0c473-1211-4e1a-827e-821d2c933c04,1660f1d4-fb0e-4061-b76b-1a3ca369d663,earn,100,,,2026-02-25T16:42:10
6b59205c-275f-48eb-be7d-14d714b159eb,824bb7a0-8249-4bed-99ae-5fdf330a32fd,earn,100,,,2025-07-18T16:42:10
0d8dc773-48a9-4c80-a8bd-354cf2a26b78,f6dc4747-aa9f-431b-a43f-257dbfe27464,earn,100,,,2026-03-29T16:42:10
1847565a-32ce-412c-891d-78153aa47a8b,f6dc4747-aa9f-431b-a43f-257dbfe27464,expire,-100,,,2026-08-06T16:42:10
6ed15311-5ad9-4984-b262-5f22e8307790,084fe83e-3f8f-4cd3-a2fc-3d9d1e066b46,earn,100,,,2024-08-27T16:42:10
18bc5230-03a1-449f-b579-3c61abf601cd,b22c7234-f186-4182-978d-623bc030aa97,earn,100,,,2026-02-25T16:42:10
8a4037b8-da4b-4423-9b57-8cdff25ead01,b22c7234-f186-4182-978d-623bc030aa97,earn,36,,8d41557f-4454-449a-886b-2f0ec1be9680,2026-05-08T04:11:04
bd4b19e8-dd60-4e81-8173-869bd65bb0d2,b22c7234-f186-4182-978d-623bc030aa97,earn,28,,9204eef5-a92b-4c47-9d34-3cbbf1842398,2026-05-05T20:09:01
c8ada2f5-6bca-41c9-9995-12fcbe54d96c,3b30c2a0-218b-405e-aeb3-685c29cd31bd,earn,100,,,2025-01-23T16:42:10
9590e665-d90c-43a9-965d-058d37f2056f,b85ad004-129a-4cf4-bef7-eed3afa99962,earn,100,,,2024-12-14T16:42:10
cfc9051e-b6e8-4616-87ac-bf282ef1b07d,a1f00d42-e390-40b8-9b4e-5a3b39d2d14b,earn,100,,,2025-09-29T16:42:10
ea6e7c80-ab19-42f3-97b1-c979a5781040,516c697a-6911-4c07-9c15-c4a50962e0e8,earn,100,,,2026-06-06T16:42:10
f1ada441-a6a4-4538-8638-caa2cac9838d,2f043407-e8ca-4e9b-a3f0-f10b94145ed1,earn,100,,,2024-12-22T16:42:10
dc347f8b-2a63-4677-92c6-f417c9bfcacc,38ce3193-7500-4244-bd30-583d9111e3d6,earn,100,,,2025-05-30T16:42:10
