id,fulfillment_order_id,event_type,occurred_at
d14185a6-5c59-4441-863b-1a0e92de411a,40464aa5-9045-48b9-be92-2b767c28c79c,created,2026-05-12T06:46:40
d849f892-76e1-43a7-a40f-fc5e3fbc9a98,40464aa5-9045-48b9-be92-2b767c28c79c,picking_started,2026-05-12T18:43:19
76d08256-9ad2-4da2-9492-9ae064d8875f,40464aa5-9045-48b9-be92-2b767c28c79c,picking_completed,2026-05-13T05:46:00
2a34aa59-1edc-4cb8-a87c-005979f91323,40464aa5-9045-48b9-be92-2b767c28c79c,packing_started,2026-05-13T15:39:32
5f4a69e4-08f6-4c8f-9fd6-77886b3696e6,40464aa5-9045-48b9-be92-2b767c28c79c,packing_completed,2026-05-13T16:44:41
25a1a74e-284b-47f9-a412-66ce06c20633,40464aa5-9045-48b9-be92-2b767c28c79c,shipped,2026-05-13T17:29:52
479f4ffb-1968-470c-9633-bf231d9b9cdf,427f6ff2-264f-49a8-9a66-72498a536a80,created,2026-03-09T01:47:40
19ce96e1-5823-46cc-9513-a765cd1d1f72,427f6ff2-264f-49a8-9a66-72498a536a80,picking_started,2026-03-09T02:35:35
ceed0049-bb11-4b5b-922e-e43835535e5d,427f6ff2-264f-49a8-9a66-72498a536a80,picking_completed,2026-03-09T10:24:53
6a66e597-6ebc-4ca2-84fb-568fd29b8c3b,427f6ff2-264f-49a8-9a66-72498a536a80,packing_started,2026-03-09T16:20:11
97db3566-d386-48cf-ae2d-e4d9a9faa213,cadf9c1c-598c-4f17-96af-e495cb5c7013,created,2026-03-03T23:43:15
a9f34239-8ec7-4c28-b63c-0931e884b766,cadf9c1c-598c-4f17-96af-e495cb5c7013,picking_started,2026-03-04T03:44:05
8736da83-4183-4777-ab5a-eb6f604dcbf7,cadf9c1c-598c-4f17-96af-e495cb5c7013,picking_completed,2026-03-04T07:08:10
b76cfb00-fede-4af2-b958-e592e153626e,cadf9c1c-598c-4f17-96af-e495cb5c7013,packing_started,2026-03-04T12:22:32
8cd4cddf-56d9-4c24-9527-36d64e65346c,cadf9c1c-598c-4f17-96af-e495cb5c7013,packing_completed,2026-03-04T15:02:05
cbe593e3-e8df-44e6-8faa-d20de334e8cd,cadf9c1c-598c-4f17-96af-e495cb5c7013,shipped,2026-03-05T01:27:26
aa09cf8e-6892-4839-9974-9b0a003d93eb,c437206f-9756-498e-91e0-b9b89a869ef9,created,2026-03-18T15:44:48
b8f722cf-3ece-402a-833b-57aba9a0d3c8,c437206f-9756-498e-91e0-b9b89a869ef9,picking_started,2026-03-19T01:12:38
9bcbd904-65f2-4565-8ce5-d8284b59ef1b,c437206f-9756-498e-91e0-b9b89a869ef9,picking_completed,2026-03-19T03:19:09
9576b149-2bd6-43d5-bbf4-b9ca24bb5b24,c437206f-9756-498e-91e0-b9b89a869ef9,packing_started,2026-03-19T14:23:48
96712f39-9bdd-4e5d-a43f-0926fddde8c2,c437206f-9756-498e-91e0-b9b89a869ef9,packing_completed,2026-03-19T21:07:26
92a8027a-1661-4695-bd5a-a17884b4153b,c437206f-9756-498e-91e0-b9b89a869ef9,shipped,2026-03-20T00:49:13
892c6da2-721a-47ee-ae45-96ef3276e9ba,b29797a1-cdeb-4518-9a75-e461ec7fe92e,created,2026-07-21T19:24:55
f19fe2f2-02aa-4d0a-9007-f1dbb6a0bd84,b29797a1-cdeb-4518-9a75-e461ec7fe92e,picking_started,2026-07-22T07:09:35
443b326b-9e20-4ea1-8cc0-08221fcaf6cb,b29797a1-cdeb-4518-9a75-e461ec7fe92e,picking_completed,2026-07-22T10:25:09
458c54a4-6f7a-4731-b580-94e7f9c088e1,b29797a1-cdeb-4518-9a75-e461ec7fe92e,packing_started,2026-07-22T11:09:29
2530d697-59a3-49c9-8183-d8027d150f9a,b29797a1-cdeb-4518-9a75-e461ec7fe92e,packing_completed,2026-07-22T18:21:42
4c2d4020-f9ce-427a-a3b0-fa5d8bbd0196,b29797a1-cdeb-4518-9a75-e461ec7fe92e,shipped,2026-07-23T00:41:21
1294ad5b-8494-469e-9457-e94840ce879c,e1aafd8b-d81a-42e0-b5df-da340eb3425e,created,2026-06-16T15:37:35
7fe59fa9-2671-4316-b61a-c0baef8419f2,e1aafd8b-d81a-42e0-b5df-da340eb3425e,picking_started,2026-06-17T02:47:30
9bb4327b-497f-4f71-ba45-abca15b2296f,e1aafd8b-d81a-42e0-b5df-da340eb3425e,picking_completed,2026-06-17T03:25:37
78491b89-6311-45c2-a9f7-2398772f53fb,e1aafd8b-d81a-42e0-b5df-da340eb3425e,packing_started,2026-06-17T11:52:18
e6c74ae0-f01b-451d-bb80-c6cbce9ae4fb,e1aafd8b-d81a-42e0-b5df-da340eb3425e,packing_completed,2026-06-17T12:23:44
760c8a07-5873-4c71-aa00-2b60e3de7d43,e1aafd8b-d81a-42e0-b5df-da340eb3425e,shipped,2026-06-17T22:51:00
2b6f725c-a49f-45d6-a621-16f117801b38,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,created,2026-04-09T23:26:43
5e4e5b52-9a19-4dea-bc67-5787b804b1ef,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,picking_started,2026-04-10T05:22:20
1f6e2a26-4806-4ffc-8bb3-4ee89523cd71,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,picking_completed,2026-04-10T14:26:56
1e830a1a-7f25-47dd-8803-105a78ed61e8,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,packing_started,2026-04-10T15:30:19
fb5cf958-8963-4739-845b-1069bc5bd719,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,packing_completed,2026-04-11T02:36:45
3f1fc1a5-5692-4c2f-b54c-6f004750f73a,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,shipped,2026-04-11T11:34:05
1b96dfb3-3ca7-44b4-a0db-75867e8c99cc,b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,created,2026-06-07T17:29:52
842e4508-0cd9-4cd8-ab86-ea56640fd432,b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,picking_started,2026-06-08T03:38:09
895ac3d7-b908-4a99-80ff-53faa3d4dcf5,b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,picking_completed,2026-06-08T04:41:17
d45de69e-f5e5-428f-a321-3ae86d32db7f,b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,packing_started,2026-06-08T12:55:47
384a660b-a389-4f97-a61b-a93380466c38,b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,packing_completed,2026-06-08T19:37:41
8ba17b3b-9255-40de-81e0-ee7a023b057a,b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,shipped,2026-06-09T02:35:53
e0ac55cd-bb91-4aac-9684-b13d7492a789,eeafcc4d-3c84-4154-994b-dbf1361caea4,created,2026-06-08T09:55:45
d38cfcb2-aeb0-490b-9a38-2f898002ac87,eeafcc4d-3c84-4154-994b-dbf1361caea4,picking_started,2026-06-08T11:50:31
70e004cc-f911-4bf2-a9c5-e85f95efea3b,eeafcc4d-3c84-4154-994b-dbf1361caea4,picking_completed,2026-06-08T20:44:09
f08f875f-ded9-4312-847a-44a168640c44,eeafcc4d-3c84-4154-994b-dbf1361caea4,packing_started,2026-06-09T01:20:24
9e71d9f8-f6a7-4aeb-9cef-5c07c711181b,eeafcc4d-3c84-4154-994b-dbf1361caea4,packing_completed,2026-06-09T13:17:24
1f2f2652-1482-4a91-83a4-a39c9ad0f97d,98864751-a111-46d0-b72b-318600015bbd,created,2026-06-14T08:21:53
b2214a45-bee6-4b3a-8cba-674af4f968f5,98864751-a111-46d0-b72b-318600015bbd,picking_started,2026-06-14T11:01:06
0e21649e-b1cc-43ae-9cdd-73a07d3262f3,98864751-a111-46d0-b72b-318600015bbd,picking_completed,2026-06-14T14:54:50
a0d3c500-9006-4fd1-9540-fc29b50f87dc,98864751-a111-46d0-b72b-318600015bbd,packing_started,2026-06-14T21:12:14
781567a8-75d1-4de2-a555-5deb2176b611,98864751-a111-46d0-b72b-318600015bbd,packing_completed,2026-06-15T03:30:40
4b1f8686-8dbf-46c0-9299-5f5add3463ef,98864751-a111-46d0-b72b-318600015bbd,shipped,2026-06-15T15:26:26
e165bf7c-9d37-49ea-8753-86cc4fbcb63e,c1f8ac1e-6569-4a6d-8fe8-7865b0157f7d,created,2026-08-07T22:12:38
4637f5e6-b8ac-4372-9fee-14be23b09b92,c1f8ac1e-6569-4a6d-8fe8-7865b0157f7d,picking_started,2026-08-08T08:49:20
9f0e4cae-99e4-45c3-8585-4a01cdbb142e,2be583a5-5c69-49a3-9307-f84739b2f34c,created,2026-07-25T15:07:06
6f52eaa3-9a73-4e13-a8c6-3ca435eb71ce,2be583a5-5c69-49a3-9307-f84739b2f34c,picking_started,2026-07-25T16:04:45
88f3d9d8-da83-4466-b4e4-6b83f9fa5779,2be583a5-5c69-49a3-9307-f84739b2f34c,picking_completed,2026-07-25T22:45:41
ad2446b8-6eb1-43e9-a462-f1646d05a7c7,2be583a5-5c69-49a3-9307-f84739b2f34c,packing_started,2026-07-26T09:51:01
a08fb58b-c8f5-476f-b70d-d79c8f4b3012,2be583a5-5c69-49a3-9307-f84739b2f34c,packing_completed,2026-07-26T20:05:47
e7292e1e-f2c9-4e25-919f-a43c1d4eec75,2be583a5-5c69-49a3-9307-f84739b2f34c,shipped,2026-07-26T20:57:56
7d5c6b09-d13c-47bb-8db8-f05bcb8ccd17,b0006b44-c94e-44fa-8a45-5a90d4b79e56,created,2026-03-26T05:35:50
42cff124-2810-469a-bd54-6a0246323c35,b0006b44-c94e-44fa-8a45-5a90d4b79e56,picking_started,2026-03-26T14:32:51
8caf0a36-de4e-4eca-bd6a-97d75fe36447,b0006b44-c94e-44fa-8a45-5a90d4b79e56,picking_completed,2026-03-26T21:03:24
5958d071-62f1-4d5a-a955-da5576007dbc,b0006b44-c94e-44fa-8a45-5a90d4b79e56,packing_started,2026-03-26T23:24:16
f6863c4e-0767-4c79-863c-9632e5bfeed3,b0006b44-c94e-44fa-8a45-5a90d4b79e56,packing_completed,2026-03-27T05:41:35
6b980919-33ef-4052-adba-bb54165500b5,b0006b44-c94e-44fa-8a45-5a90d4b79e56,shipped,2026-03-27T16:09:59
9caeee88-b090-42d9-bf47-37294c173aa7,d287257a-1e7c-447e-a244-6aa1d7e46cc3,created,2026-05-27T22:59:12
e480ada3-6f13-45b2-b381-547f6d110b72,d287257a-1e7c-447e-a244-6aa1d7e46cc3,picking_started,2026-05-27T23:31:27
