id,warehouse_id,sku,checkout_id,quantity,reserved_at,released_at,status
11c26287-83d6-4c07-96d0-82692ed9d115,WH-EAST,JAF-001,7adc6c35-419e-4962-a6bd-0d25bf258982,1,2026-05-29T16:27:38,,committed
d362fd2b-7e52-442b-b6dc-f6673dbf772f,WH-EAST,JAF-005,7adc6c35-419e-4962-a6bd-0d25bf258982,1,2026-05-29T16:27:38,,committed
ac0e3d38-7d62-4098-b477-144fc568b3c1,WH-EAST,JAF-002,7d059853-49cc-415e-8c19-42343f6a22b1,3,2026-04-27T21:41:12,,committed
aac4f981-a92d-4151-8963-194a7be93a31,WH-EAST,JAF-003,7d059853-49cc-415e-8c19-42343f6a22b1,1,2026-04-27T21:41:12,,committed
a463f2f6-437b-485f-b036-8bb2192ffac7,WH-WEST,BEV-003,6cca5067-15de-48c2-ac97-6d9c62d2969f,1,2026-06-22T08:37:50,,committed
56e39f1c-c442-4d8f-80a3-22a9c3f25f74,WH-WEST,JAF-005,f19fe4f5-af76-4118-90cb-6b1dc963d231,3,2026-05-04T15:27:08,,committed
06a773f4-721d-4db4-861a-ede9550a17ad,WH-EAST,BEV-005,754de991-f08e-4c2e-ab8c-b4799701e228,1,2026-08-01T14:00:57,,committed
985c888e-99bf-44e8-b16b-add3aa0c5fe2,WH-EAST,JAF-003,754de991-f08e-4c2e-ab8c-b4799701e228,1,2026-08-01T14:00:57,,committed
685bb5d6-8e01-49ff-b91b-c111956e6d64,WH-EAST,BEV-001,754de991-f08e-4c2e-ab8c-b4799701e228,2,2026-08-01T14:00:57,,committed
2e9cea95-4b1f-478a-83ff-a25f86a08f27,WH-EAST,JAF-003,754de991-f08e-4c2e-ab8c-b4799701e228,1,2026-08-01T14:00:57,,committed
af5f098b-774c-438a-9be5-fb97276e8f69,WH-WEST,BEV-002,c8a58826-5158-45da-b981-711ded39b675,1,2026-02-26T08:48:48,2026-02-26T09:06:48,expired
790627c3-17ad-4efc-8255-8678250d8b31,WH-EAST,JAF-003,c879e41e-4fee-40fb-96dc-96ff51b49004,3,2026-07-15T11:38:43,,committed
d7be37fc-a090-4b9c-9a0a-cca45fcc9121,WH-EAST,JAF-003,c879e41e-4fee-40fb-96dc-96ff51b49004,1,2026-07-15T11:38:43,,committed
e2faa410-0b43-4c6c-8c16-377396e570a0,WH-EAST,BEV-002,c879e41e-4fee-40fb-96dc-96ff51b49004,2,2026-07-15T11:38:43,,committed
