customer_id,marketing_opt_in,preferred_channel,preferred_language
f5e8b3ff-659d-4bc9-bdc6-6b7fe343bcab,False,email,en
bbce772f-b9b7-49f2-b79e-fa5d953ced6b,False,push,en
73b79064-9e0d-4b3f-87d0-6ab33593b492,True,email,en
797a1a0b-31a6-4422-af8a-98fd4e5e1114,True,none,fr
3207b0f3-9af4-4ba4-acb1-6ba8ea25f52e,True,sms,en
44df0dc9-35a6-4159-8141-4a8bf47c0e2b,True,none,fr
b5b5a474-4e05-47bf-b9a2-872e5dc9a328,True,sms,en
63af441d-70c7-4c4e-b495-80b967849285,True,none,de
3d6f18db-a49c-4563-9445-68d4e02bd664,False,none,de
21e6a119-3caa-43ab-9905-08bda65f8493,True,none,de
f7d61334-5d22-49f8-a022-903921239047,False,push,es
fd9f1577-416e-472f-aad7-7bd5c56293f5,False,sms,fr
03710ca1-feb1-4206-bd26-3bb8e6a1dac2,True,none,de
c502b1f4-b287-444d-b643-953150ebee0d,True,push,es
b7428f06-b3dd-477e-8569-96068f3d3dcb,True,push,de
4ba2a669-8d0b-4aef-96c0-aae24b7711ff,True,sms,es
c912d33f-5dc2-4ec9-a126-34b598046705,True,none,en
961b1333-d41e-443a-9880-0b1c8c59e141,True,email,de
98c7adf1-31bc-45c1-85fb-dbf53b4a53e2,False,email,en
82205f5f-43a1-4172-aab8-523ed6a89f26,True,email,en
e83c866a-6830-4488-8842-ce77146d8d41,True,sms,en
598904ac-fa48-43af-8fe9-41388451ae53,True,none,es
b43d4e7f-d2c2-4f0e-a706-cfd02d61a398,True,none,en
8834bd0d-66fc-44cf-83bc-c787f024b078,True,email,en
d2d5925b-c91a-440d-a613-0c76f88845cc,True,sms,en
bab8979a-8cd9-477b-bbd7-2e1dbab88437,True,none,de
387603c1-d2a6-475e-ab4c-9ba7aa78bb27,False,email,es
b08f3b44-9c9f-407f-a89d-961068f5f58c,False,push,en
167ce993-af12-4071-a5cb-fb3f09045741,True,sms,es
902c8ddc-8ba2-42a6-b380-4afc64f50ffc,True,email,en
e6ef189a-76de-4ef5-ace2-676d69273e22,False,none,es
78e4ffca-cfe4-42f3-9ef0-98ca1bb8cfa0,False,push,es
3d0fd916-f8d9-4f59-9d2f-75d16ed75c58,False,push,fr
33326773-e843-48d9-9641-9990733d705a,False,push,en
0bc37503-ab88-4833-9b4e-1355bdd20deb,False,sms,fr
f1c35457-d11b-4726-ae58-b98a09167675,False,sms,fr
67d2941c-ef55-4f74-9994-431a09ee14db,True,sms,en
9c98b2d4-f4f3-440f-b28d-0e1ca7a152a5,False,push,en
baa48fe5-b7a4-4ea7-8eaf-5387ded157f7,False,none,de
bd463573-d217-4411-9ac0-8b72bd7609cd,False,sms,en
d82c6a2f-7e02-40de-81c3-c42ef14d8460,True,push,en
a5066e8e-de65-4798-9ed5-f6cae5f86031,True,email,fr
1c4a9464-3e0e-45d2-9ca2-87c36b03f80b,True,email,en
5bc10fee-ced7-43f1-91e5-597bd89faff6,False,none,fr
9ede5407-362e-465c-a234-482e1f2411c1,False,push,de
adaf0597-4b7f-4b6a-8881-40f3787bc862,True,email,es
1fcfe435-1e78-4646-a517-19906c49735a,True,sms,en
ed46daf6-4c46-4af8-a80d-c0cf0b307966,False,email,de
5d24b6bc-2eea-4766-a11d-b0aed43f038a,True,none,fr
a7cebb21-0f26-4834-8a09-e3269b21a77b,True,none,en
2dc965e2-d3fc-4bc8-a118-d1636dbfe8c5,False,email,en
