id,authorization_id,captured_at,amount_cents
f2fceff1-598d-4615-a028-c30daac90244,82c67b44-3cc5-4221-9896-cb57e66ae0b7,2026-05-12T06:28:51,500
9159b090-3b0d-4713-a8af-2f80c95f8021,7f112b35-58e8-43a7-9645-bbec7b2b89a5,2026-03-09T00:52:00,5100
2ece9c60-28ad-4798-ba70-c78a15524ab8,a7553f4f-f928-4d08-a544-512755f3137d,2026-03-03T23:12:59,600
005fe56b-f111-4e65-805b-8094dc578393,12002731-7df2-4084-b5aa-dc11e70c4a6d,2026-03-18T15:05:46,3336
49947708-538b-46b4-806f-c0020334ebc6,032b7f62-4f34-4654-8aff-5ff007d556b6,2026-07-21T19:14:41,2900
f3e0658d-4567-427e-9822-996b8f68e5de,107213ef-1434-4ee2-8b4e-ad547410201a,2026-06-16T15:29:10,2600
b98cddcc-928a-4027-a00f-b01dc718fe6b,1a273e53-9704-45be-bfc6-79762e25326d,2026-04-09T22:42:19,2700
5dcd4007-0cd8-4533-920b-4f61cb7f0408,3d0a7e16-771f-4ab6-a9fb-2a7a27c2c585,2026-06-07T16:33:05,600
753a7b30-473b-45ea-9abe-5ce992817ade,f9d87ebc-e81e-4880-a5ae-34f95a7540df,2026-06-08T09:24:11,4200
ec10542d-6433-410b-96da-edbc2ffe94c9,facd1c3f-b873-417a-bd8d-236ee9172c9f,2026-06-14T08:02:54,2400
404311e8-4024-4f88-9535-567cea445ffe,1be140e6-f2ef-4ffb-b0ef-72b4f7b36848,2026-08-07T21:53:34,4700
5683451b-9d0f-4d49-a390-614295f3d85c,f2613951-676e-4213-9db5-1a3eea70125c,2026-07-25T14:29:53,2000
84b76633-bf35-4acf-b1e0-021a79fbcf2d,883c52e8-9bcd-4fbf-ada4-ebc55895bf8f,2026-03-26T05:13:41,2000
28c0f266-52e2-43af-9246-507f07b66a05,81f9ca0b-e781-4e73-b39e-ab64ceaf9912,2026-05-27T22:18:48,2000
5b614abb-32a5-471a-912a-117b336a70cf,5190cca5-0779-49bf-ad4c-e4cfee0069a6,2026-03-28T19:46:56,2268
1415043a-badc-4119-89a4-b921fe6cb1dd,37b1464c-d122-48d1-a6de-0aba56430fdf,2026-07-23T11:27:47,2763
c3e9efae-f2c1-481e-8d9c-60636f13cef6,8203a048-e130-4262-8598-ffdacb25a16c,2026-03-01T19:57:08,1100
9a38dc41-144d-48db-b437-3ff0579fbcaf,93b6348d-6d5e-44b6-b7a3-a5fdb3a554d2,2026-07-17T12:02:29,0
871a2b58-00ad-4138-b829-490e66606b79,8893a80e-d1d6-452d-a70f-4ff4aed3abcc,2026-04-02T11:35:49,2800
0b82a151-2f47-42b9-91f1-7cef4816fd4a,a0dd7ebe-113a-40d9-9035-ae18d9c42c38,2026-07-02T00:50:12,2600
26d917c8-2323-4068-b7f1-324cb76108d5,82b779ce-c417-468b-a719-12447337f8fa,2026-07-09T23:02:12,600
9939f27b-86cf-4265-aa64-d7da147f1883,b842088a-e919-474d-853f-a8063b7ea0c3,2026-07-30T12:49:53,4200
6923dc5a-99a5-4af9-941a-489af27953f1,a918a699-ada6-4313-9d08-cf7051b5ef46,2026-02-25T07:07:51,900
59c07e7a-34a5-4456-a3c6-5ec0861d0681,7c24390e-8eb2-4cf5-9e79-14f97c25400e,2026-04-15T10:35:22,1100
1cc77768-be9e-4040-b537-3d6897e7537c,bc312734-8d4b-448e-82a3-967c5d2361c0,2026-03-04T08:11:28,700
ec74fb5b-6058-4c84-8350-5358b05f5af9,78fb32bd-e3e9-4aa3-9a92-a2f32181da66,2026-07-10T02:55:15,1200
68645baa-5a2c-4b1e-8339-85f38a0d9617,5a71c422-3a0e-4fef-be05-b37198fa3857,2026-05-21T12:05:18,5400
db8debf8-442d-40fa-ae89-ee8c3c98067c,64274db2-fff8-42cf-9d07-18a219a51517,2026-02-27T10:33:57,3300
e9d42a85-ed82-4f2e-8908-38d53b6197d7,754d8e59-5006-4bfa-b9bf-89d657e75f74,2026-06-04T07:11:26,1700
bbc681c8-59dd-4195-b303-9e7d026df4f4,7e8b46bb-db04-4c15-8c2e-1fe57a4cab29,2026-06-09T13:34:15,2400
6719b305-1f10-4487-81f4-ce482e249915,8537db61-687a-4536-a10f-fa89a12e818d,2026-07-09T09:24:36,4000
d2c6fef2-9a13-4149-ae69-7e0a61f7588c,10d39948-e7a4-46c5-bf21-e6be888ffa4d,2026-07-02T16:40:32,4000
02b4a96b-7205-4325-b2c9-39f2e9a854a0,aca7ed6b-56e3-474b-9ae6-ff8821640e6b,2026-02-20T21:58:56,1200
8c2ada9c-e675-4f32-be68-ce3cee75ec15,e27c1ec8-11ee-4e1b-9f57-05be4d4988b9,2026-03-03T07:15:02,2400
4dcda437-fb6d-4efc-adee-ff57114605bf,1b6e7795-4fc8-4254-b53f-9e06b3cef7f8,2026-04-19T22:20:28,400
b52a9356-72b2-4ec8-ad0b-7e03968a655a,876ba94c-ae9f-49b9-877a-7e97b2410645,2026-05-10T13:30:47,4000
81310da7-eb08-48ec-830b-f66204e5cf71,33948937-4534-4ffc-a2c3-e830a97dfa7f,2026-05-18T06:10:12,1400
6af866b4-f251-425c-88ac-4ef4c07878ff,0dc11ddb-3b89-4480-940a-d0d3054d61e8,2026-05-25T19:38:47,4200
b74eb5ec-59bd-4032-8011-42e709e05bf6,7797c475-684e-482e-90c2-132929674b8f,2026-04-08T11:10:16,8800
5a08b3b8-9eab-4eb6-a716-cf8f161ad6e1,5058d253-4755-4269-93ed-c3ece0ce9dfb,2026-04-07T01:52:25,2775
2caec183-0b42-4674-84b5-9020a63419da,f0246404-af51-4e1b-a9a0-ef325f5ba045,2026-06-01T18:30:26,1100
9acb4e3a-5e7b-45f4-973c-cb1a197dbc24,301f3ed4-ac18-4918-9fdb-ffc148cd94e9,2026-08-09T01:15:18,2200
cb92801b-f589-4506-86e1-d2a9d9b03ca9,1f0c27f9-21c3-43d6-a06a-863accd31da7,2026-05-17T11:58:00,1900
1d9ec049-550d-43c7-85ff-b43608b48f96,382120c0-50e5-4520-9fad-e16974180607,2026-08-06T11:23:28,2300
7943cc17-019d-4661-8756-ac68b3931524,b6975be9-0419-4a1e-8340-1f29e19e16e0,2026-04-29T08:14:32,4500
237b0d2e-df47-4d8a-98ea-9fa723accb5f,c02bf826-48d3-4bb7-970c-18b6598cdcc0,2026-06-19T04:22:24,2200
423abd16-fe09-40d8-8ad3-0348a35ef49a,fd26c06a-e300-48b5-bf4d-e62adcbfcc09,2026-02-22T11:26:16,2800
01afdc4f-8fe3-4f6e-b42c-f7da0fde998f,6752d6f6-6740-4061-adcc-c8bed9f0fc03,2026-07-14T04:29:29,1200
ecb510cb-db8d-4205-9ae8-f68a007a928e,7057d1ee-8e78-4b87-ae3e-595add0b4800,2026-06-01T01:05:50,1400
75151afa-84e3-421e-b7ac-b6aa5b352f2d,673962d8-85f4-4bcd-b7a5-66b88f2b51a5,2026-03-03T01:29:54,1300
e9a67418-48c7-45e1-90ed-f2f4f9e650ee,9811bc4b-8c0b-45b0-bac4-48b3b473d36f,2026-05-15T06:49:31,5400
4a441b1b-04b9-483c-b37f-9b96dd4aaf89,5af82db9-6904-4cdc-a879-e2a2a28042cd,2026-02-22T12:37:07,786
03c09117-0932-4af3-83c0-7d5eb1916c30,a1a59df9-eb21-4d3d-84ab-9e9ce9fb734e,2026-07-12T23:53:50,1400
451055c9-afc7-49d5-a159-af53dc2ce744,ae8dc154-786e-441b-9807-c71dfa817f61,2026-06-27T07:11:08,0
50e09fd3-df31-493e-a68a-277520a5a4fb,acaa25ad-74f4-405c-ada3-e5bd10317f56,2026-03-11T12:21:13,5600
1e4de771-ecd4-4dc8-92a5-a22806a12e82,6aebb168-0a57-4ac0-93b6-2e1669efe578,2026-05-18T00:18:08,2800
cba74477-1325-4b18-9534-a1ec9a3b7ed0,c02fc4a8-0a69-4499-a51d-08d8a6cc2174,2026-05-11T13:17:58,2800
c30092e4-6ccb-41ad-8b8e-867d1b6e8238,9a119495-8d7a-490c-8574-0b346b1273f5,2026-03-16T21:46:46,700
309f83ba-c1f3-452a-8673-d3e64f3d0fce,157e177b-f70b-43a5-aa66-87e951f845e4,2026-08-03T07:49:48,0
ffedeb83-71e5-442a-88b4-fbc43ff1c51d,68c24373-7b8d-47bd-a03a-63028cedba6d,2026-05-22T22:29:04,400
5afee29f-c442-4ee5-866d-8a93ca44d644,481ea220-a432-4e07-b6ed-b4ef7d8af7b9,2026-02-25T23:48:11,4500
a27a3e76-7e01-4fb8-955f-579a448ddd52,864a22d2-e07f-4647-b262-a0dc849957c4,2026-05-13T22:33:33,2800
3bb6e2d8-858b-4507-b13c-613251654aad,57f74899-f39b-4553-bae8-2599ddec3037,2026-04-22T22:26:46,2800
3d90b8b0-bb4f-42d2-8007-5927aeae8555,3ce62704-913d-4f4f-887e-04e1ca36a9ff,2026-03-13T09:20:56,1100
c9d8abb8-b4b3-43e7-869d-8520c54e9acb,a9909780-26f5-400b-9cf9-49b9c46db477,2026-05-14T15:42:09,600
27049316-31f3-4741-a642-d25007839382,01082b98-a12d-49b4-aeb7-a4a4daadc888,2026-08-11T00:45:47,1800
8c55cf81-5e9e-4cdc-b8ed-329247897925,a667280b-e194-4a69-b8d8-cf39f1aa99f8,2026-04-24T04:15:25,4000
9d671ac5-d25c-44bf-ab96-fc97e7531632,e9706b1e-d9ce-4dc6-94f9-259064bc17bb,2026-03-07T02:51:55,1500
