id,purchase_order_id,sku,quantity_received,received_at,condition
fcd008c5-cae4-4130-94a4-ce18bfa1750a,bbe19fa5-7ac4-4ef4-a5f0-4ada1208f882,JAF-002,39,2026-07-24T16:08:46,good
709e29ba-b0a6-4389-8038-c5bde8887663,bbe19fa5-7ac4-4ef4-a5f0-4ada1208f882,BEV-001,125,2026-07-27T16:08:46,damaged
eaee67a7-a928-42c3-8b51-92da903d315d,396c03d3-b0ff-474f-a61e-0729ea0c1825,JAF-004,147,2026-07-15T16:08:46,damaged
3d82af2f-a36c-4ffd-a3dd-092488c036a4,396c03d3-b0ff-474f-a61e-0729ea0c1825,BEV-005,107,2026-07-19T16:08:46,damaged
a579735c-741a-4f31-949e-edbdbb8cb15a,22544974-ff9c-459f-979f-32cdfa09184a,BEV-002,35,2026-07-22T16:08:46,short_shipped
4e983f34-ae75-42aa-93d6-aae176fcaffb,1328db5a-247e-4b8a-9237-53a79936de3c,JAF-002,80,2026-06-29T16:08:46,good
90cc575a-d702-4256-9c05-5cfd2770dca8,1328db5a-247e-4b8a-9237-53a79936de3c,BEV-005,126,2026-06-30T16:08:46,good
163c466e-ad64-4cab-b9ee-bf8e209bfcf8,3400f9d9-3a80-4c8e-bc9b-4a971bc44e95,JAF-002,83,2026-04-16T16:08:46,good
95da52f8-67ea-4b2c-99a0-a3c41f213716,3400f9d9-3a80-4c8e-bc9b-4a971bc44e95,BEV-005,129,2026-04-15T16:08:46,good
283b1062-a193-4e2c-9ee5-aed79d2fe894,311a4b55-4d95-4d63-add1-ed3da26cdcf5,JAF-003,37,2026-05-07T16:08:46,good
c952a49b-ae25-47b3-8c7f-3d5d2cd78602,311a4b55-4d95-4d63-add1-ed3da26cdcf5,JAF-001,90,2026-05-08T16:08:46,good
be2c1f20-b6be-4caa-b100-33c2f94877e5,987b68ac-b997-404b-8d4a-5e5ddc6a463a,BEV-005,64,2026-05-18T16:08:46,good
32ea81fe-bce4-49e2-a545-c11f21b90c65,987b68ac-b997-404b-8d4a-5e5ddc6a463a,JAF-002,103,2026-05-14T16:08:46,good
27f9af43-f8d4-4c70-86fd-7c322682ca5a,4ebd706c-f434-489e-bdf3-6c89fbf516e6,BEV-004,60,2026-06-12T16:08:46,good
ed19378a-13d7-45b6-ad69-7cbe0541cb40,7cc97b4f-458b-413e-b5ce-336599d0268a,JAF-004,109,2026-04-28T16:08:46,good
a9a6ed9a-5987-49d3-a50f-8ac9684554f3,7cc97b4f-458b-413e-b5ce-336599d0268a,BEV-005,25,2026-04-25T16:08:46,short_shipped
861f0191-75e2-4e32-b7ef-bc7d99c93989,74f29d53-2146-48f4-8995-a07dac10fccb,JAF-005,118,2026-06-16T16:08:46,good
517d879a-953d-4a6b-bac7-85b6941da93c,e4350881-3b57-47c9-84b9-a19043d2e36f,JAF-002,45,2026-04-28T16:08:46,damaged
6d4be952-e0a0-43ce-93d1-a5294bc1d074,e4350881-3b57-47c9-84b9-a19043d2e36f,BEV-005,69,2026-04-27T16:08:46,good
5097a621-7427-484d-a21e-e0c37a07948b,e4350881-3b57-47c9-84b9-a19043d2e36f,JAF-004,144,2026-04-27T16:08:46,good
17a5aaad-191b-421b-9464-9ff405ab3c73,133f88c2-e592-4a48-a9dc-4a61207c3b6a,BEV-001,69,2026-03-21T16:08:46,short_shipped
89e3121a-a6b5-4969-a9e8-0cba68e6b849,ea45ac60-50fc-474f-b39e-238b524696e9,BEV-004,77,2026-04-05T16:08:46,good
20ad3c3c-dbc7-4291-807c-ec9cfb3728a6,ea45ac60-50fc-474f-b39e-238b524696e9,JAF-001,41,2026-04-02T16:08:46,good
77953960-f48d-4ff2-9ea7-815ecd54304c,0ff1ea79-3bbc-4557-b3b6-d9f56f96caa4,BEV-003,28,2026-06-28T16:08:46,good
3b7bd176-e51d-4d84-94da-81146d648ffe,fc844454-cbe0-40a5-92f1-e1e1135eb4d7,JAF-004,51,2026-07-03T16:08:46,damaged
9b598129-acc3-4742-b2c0-a5c79aa8c0b4,fc844454-cbe0-40a5-92f1-e1e1135eb4d7,JAF-002,121,2026-07-07T16:08:46,damaged
5754f6a6-1967-4f18-aceb-10b5ba9b350c,fc844454-cbe0-40a5-92f1-e1e1135eb4d7,BEV-005,150,2026-07-04T16:08:46,good
dbd9f6bf-a816-4a2b-acb5-6bf02177d638,001c3b1f-ca56-46ae-b7c0-676f5eb58528,JAF-004,28,2026-04-25T16:08:46,short_shipped
