id,payroll_run_id,employee_id,regular_hours,overtime_hours,gross_pay_cents,federal_tax_cents,state_tax_cents,other_deductions_cents,net_pay_cents
ec5f220f-16a5-4f37-a52a-3059bdc709d5,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,e352edd9-9089-4e5f-9dad-05bfd00ee15a,80.0,0.0,455838,54701,18234,21229,361674
2a07b21c-a77c-45e2-880a-697581144948,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,78b0b7c7-f0e7-4836-95bc-94c640f7d2f9,47.06,2.11,229026,27483,9161,10279,182103
fe0d8330-8ac9-499c-9a0b-5972b8404b94,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,37aa2c6b-5c5d-406e-8dbb-ad5a4018edeb,80.0,0.0,363669,43640,14547,26941,278541
d7f7d5d9-9a1c-4571-a2df-93b125aecdb4,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,c74e16da-2083-466d-8a10-8566f892b662,56.0,3.78,230954,27714,9238,7077,186925
2d25bafb-0ed0-44e8-a828-9da8e459d30f,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,6f0feb58-8d2d-4291-9db5-d43d58eb597d,64.0,4.41,356323,42759,14253,26569,272742
286f3fc7-98e6-4e3a-bc92-a3aa6c622e7d,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,ba629d98-4d22-436c-aa70-6f19a0726237,80.0,0.0,361077,43329,14443,12866,290439
f9ab15ce-a59d-4328-9e7a-6ce605bfcee2,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,c25b3f34-cc91-42be-8f26-f30a5032f7e3,46.73,3.27,226161,27139,9046,13496,176480
24dc2cbc-90af-40c4-95e0-3533887565d4,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,718b32b0-daf5-4ef0-afc9-5f4c5cb28588,80.0,0.0,426527,51183,17061,19559,338724
3eb33541-b982-4184-a894-70d7d1a4e40f,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,94b323f2-7e53-4ee7-b6b0-e4adc2f6b0e2,71.19,1.62,176982,21238,7079,13813,134852
3ca8b9b6-c649-4404-8130-0a05310fe0a3,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,2f847c66-5b6b-41fa-a5b5-d36d820bbe50,69.91,4.46,138493,16619,5540,8545,107789
30a7efcc-2865-48c8-88a6-7b0c2b4a8c93,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,682f88c7-a779-4fbc-b71f-7005333737c3,71.29,6.23,313025,37563,12521,11899,251042
1ac5ae5a-4b7f-41eb-ab02-97bce1c9fd95,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,17b527be-6c67-4b79-b717-84232f15fb72,80.0,0.0,343408,41209,13736,16612,271851
0aafdaf7-8be1-42ef-80e6-92b1bbd49662,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,8c58dc80-74d9-4b44-bc08-00ca8609acf4,80.0,0.0,434465,52136,17379,22439,342511
2e14553d-59d5-4d23-9490-9ed392947d40,040a8ffa-ac20-4ce0-9c6c-9ef9f1bd3e06,42ec1fc3-c1d2-4b88-8509-2f8c188d6430,80.0,0.0,599627,71955,23985,34478,469209
