id,cart_id,event_type,occurred_at
1a1d54be-9591-4e9f-85d3-cbf434f29d2e,95db1e0f-4794-446a-a917-08a485367f7a,created,2026-04-24T18:38:41
28a733fa-55b6-48bf-a8ef-ec3c8038022c,95db1e0f-4794-446a-a917-08a485367f7a,item_removed,2026-04-24T19:00:41
f76e89d9-1daf-43a4-8a2a-2b54360a70d5,95db1e0f-4794-446a-a917-08a485367f7a,item_added,2026-04-24T18:48:41
66ea4c21-49d9-4785-9c56-46ba747f41eb,95db1e0f-4794-446a-a917-08a485367f7a,item_added,2026-04-24T18:57:41
1d14a4a1-55bc-44ec-8eb4-aa90fffa6a59,95db1e0f-4794-446a-a917-08a485367f7a,item_added,2026-04-24T19:15:41
c7456fe9-54d4-437a-b95e-0d3fd94274b4,95db1e0f-4794-446a-a917-08a485367f7a,abandoned,2026-04-24T21:54:41
4b4da2da-87d5-4f3d-8c5c-ae203edc091d,8d05bcca-5895-48d5-b607-44c11082ab38,created,2026-05-12T03:47:40
29220f5a-0e96-4aeb-adc3-b674e7792f28,8d05bcca-5895-48d5-b607-44c11082ab38,item_added,2026-05-12T03:50:40
f881fbbe-c048-44f8-a133-9ccb424d36d4,8d05bcca-5895-48d5-b607-44c11082ab38,converted,2026-05-12T06:21:40
ffb59125-6ced-43c5-be91-ca893e8c2f38,f4f00938-40d4-4e00-bca0-5ff8ed59006a,created,2026-03-08T23:58:40
3ea731c8-831c-4779-8d0f-08ad2f6f153f,f4f00938-40d4-4e00-bca0-5ff8ed59006a,item_added,2026-03-09T00:18:40
ca47d06e-b068-4411-94a0-036b12edf34f,f4f00938-40d4-4e00-bca0-5ff8ed59006a,item_added,2026-03-09T00:31:40
670e61d5-fa89-48a3-a149-fe4b64958ce1,f4f00938-40d4-4e00-bca0-5ff8ed59006a,item_added,2026-03-09T00:49:40
85ac2359-c4cb-47d4-90dc-9b34cf213230,f4f00938-40d4-4e00-bca0-5ff8ed59006a,item_added,2026-03-09T00:53:40
f1497498-6331-477e-ae8e-0bf151c291fb,f4f00938-40d4-4e00-bca0-5ff8ed59006a,converted,2026-03-09T00:42:40
defa9f85-872d-41a6-a642-ea976b092a99,1c5636cd-0858-4d62-b332-1ce1caab23f1,created,2026-03-22T07:40:46
48f2ca10-dba0-4fd1-ba30-7f2e22fcec6f,1c5636cd-0858-4d62-b332-1ce1caab23f1,item_removed,2026-03-22T08:01:46
4e281263-6367-466c-a460-a0b210363e3d,1c5636cd-0858-4d62-b332-1ce1caab23f1,item_added,2026-03-22T07:46:46
2f3ec025-53c1-4b3e-9f49-3b44179976c7,1c5636cd-0858-4d62-b332-1ce1caab23f1,item_added,2026-03-22T07:47:46
29eeaafb-63fb-4fb4-8bea-fbf0c7ae5fc5,1c5636cd-0858-4d62-b332-1ce1caab23f1,abandoned,2026-03-22T09:40:46
0c1a0132-822a-4700-a14f-8bfcb4c910b0,0fbd7230-f403-4fe5-903b-03a6f04c09f7,created,2026-03-03T19:33:15
67079578-1a85-4372-964a-f756e7000783,0fbd7230-f403-4fe5-903b-03a6f04c09f7,item_added,2026-03-03T19:43:15
a6ab6b71-48f2-44f3-9b22-d8dd141316f8,0fbd7230-f403-4fe5-903b-03a6f04c09f7,converted,2026-03-03T23:06:15
45fa6da9-b74d-45c5-be88-e29dfcc8c5ac,c879f9e6-3b57-43c6-84d0-3ebdb83e09bf,created,2026-03-18T14:38:48
32ad3354-ef2e-43f2-a914-9a2a8d04a10a,c879f9e6-3b57-43c6-84d0-3ebdb83e09bf,item_added,2026-03-18T14:47:48
4dbdf516-a9f2-4adc-bef8-96681aef11ca,c879f9e6-3b57-43c6-84d0-3ebdb83e09bf,converted,2026-03-18T14:56:48
eb860554-c6b8-4561-864b-b0d804233d59,5649e6b8-ea45-497c-8bea-e182b9b739e1,created,2026-03-07T09:10:26
6356f7d5-73c8-4293-a730-6f7b0a8de4e2,5649e6b8-ea45-497c-8bea-e182b9b739e1,item_added,2026-03-07T09:13:26
11bd6520-b567-43a1-9bca-2daa80aac43e,5649e6b8-ea45-497c-8bea-e182b9b739e1,item_added,2026-03-07T09:22:26
1a8cf65d-6b73-4319-87a7-47f7fe59cd1f,5649e6b8-ea45-497c-8bea-e182b9b739e1,abandoned,2026-03-07T10:41:26
2da91f1e-98f0-4331-9691-957641157ef9,b88a7be5-c478-4643-8a6c-946986a22e7c,created,2026-03-21T01:56:23
a0e62fa1-7794-49d8-ab5c-c2f948579eec,b88a7be5-c478-4643-8a6c-946986a22e7c,item_added,2026-03-21T02:08:23
6760babf-e33c-4a05-8a34-6c1a84f8a7a4,b88a7be5-c478-4643-8a6c-946986a22e7c,item_added,2026-03-21T02:20:23
bde5cdef-ee0c-4e28-9c15-f68904c0ef20,b88a7be5-c478-4643-8a6c-946986a22e7c,item_added,2026-03-21T02:27:23
3e76dae7-f36f-4f87-8a89-672f6201553f,0e9183c6-8488-4cd3-b280-3746c48cfbf8,created,2026-07-17T09:37:22
2fc8a134-23f1-4f5f-99e3-2fffdedc22b7,0e9183c6-8488-4cd3-b280-3746c48cfbf8,item_added,2026-07-17T09:56:22
0794acd1-f800-44a1-9724-e36fecbfe00b,0e9183c6-8488-4cd3-b280-3746c48cfbf8,item_added,2026-07-17T10:01:22
eb43bbad-9960-4f6d-8a7a-56ea3f64eedd,0e9183c6-8488-4cd3-b280-3746c48cfbf8,abandoned,2026-07-17T12:10:22
