id,fulfillment_order_id,sku,quantity
10593a45-4cbf-4bf0-bcbb-bc5ec75efb95,40464aa5-9045-48b9-be92-2b767c28c79c,BEV-002,1
8451debd-2354-4d21-b73e-06d5bf16dc90,427f6ff2-264f-49a8-9a66-72498a536a80,BEV-004,1
604ea9c5-5920-4765-8132-c7315293bd71,427f6ff2-264f-49a8-9a66-72498a536a80,JAF-004,1
6f95b4f5-fa34-4253-84cc-00c9b1ecf6bc,427f6ff2-264f-49a8-9a66-72498a536a80,BEV-004,1
c9e20495-dde1-43f0-92a9-0add04c92591,427f6ff2-264f-49a8-9a66-72498a536a80,JAF-001,1
cd099099-95c6-40b6-93d6-12555559d5ea,cadf9c1c-598c-4f17-96af-e495cb5c7013,BEV-003,1
3263ddb5-705c-4d01-91a0-6da43bd524c5,c437206f-9756-498e-91e0-b9b89a869ef9,JAF-004,2
0485dc70-ed86-44d1-b348-67b8d97d7447,b29797a1-cdeb-4518-9a75-e461ec7fe92e,BEV-003,1
6928788c-a71e-4dfd-ad7b-3f1b58dea757,b29797a1-cdeb-4518-9a75-e461ec7fe92e,JAF-005,1
129a3a02-bcf7-47ee-bce7-a13856b3a4fe,b29797a1-cdeb-4518-9a75-e461ec7fe92e,JAF-002,1
7813befb-6836-4c6c-b50a-b28289760efe,e1aafd8b-d81a-42e0-b5df-da340eb3425e,BEV-004,1
f69b35ea-b394-4acd-a95e-187d9f78d8d1,e1aafd8b-d81a-42e0-b5df-da340eb3425e,BEV-003,2
45df513c-78dd-4835-9a52-2b18620bfa18,e1aafd8b-d81a-42e0-b5df-da340eb3425e,BEV-004,1
721a268c-6c18-4977-bac9-b0b2ee1ad6c2,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,BEV-002,1
a8bbdae2-53ad-4239-9d2b-8f1862d70235,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,JAF-001,1
ef9ec8eb-8e12-4673-8565-15a8bfe786e3,3d9862a5-6596-4b5b-bdc8-d15a32abd5ce,JAF-001,1
c3b91c01-569e-46e0-9b15-d26d30fcb48b,b67ff3bd-87f6-4d42-8ae1-0bd0b53bd3b1,BEV-003,1
5503f6e0-9eee-48fc-a5f4-f507e20a62bb,eeafcc4d-3c84-4154-994b-dbf1361caea4,BEV-001,2
b82def4a-1802-428c-b94d-f35faf8d33b1,eeafcc4d-3c84-4154-994b-dbf1361caea4,BEV-004,1
3592ac4c-7f70-47c5-90a5-6761255d9cb4,eeafcc4d-3c84-4154-994b-dbf1361caea4,JAF-002,1
62a7188b-9ee1-43f9-9ab6-1c1ee21709bd,98864751-a111-46d0-b72b-318600015bbd,JAF-003,1
4275acc4-68c4-4a1e-b5c2-d062ee75eaf9,98864751-a111-46d0-b72b-318600015bbd,JAF-003,1
f8def535-2870-4aa7-a27e-d647f6c2515a,c1f8ac1e-6569-4a6d-8fe8-7865b0157f7d,JAF-005,3
558a56b0-6f8a-4274-bccb-2bb5b00edc88,c1f8ac1e-6569-4a6d-8fe8-7865b0157f7d,JAF-001,1
1376649f-1e77-4c84-8246-0fbc0a378f84,2be583a5-5c69-49a3-9307-f84739b2f34c,BEV-003,3
0cc9d815-7a70-425e-a0ce-f34ff030b2db,2be583a5-5c69-49a3-9307-f84739b2f34c,BEV-004,-1
ae7e9818-0773-41e2-a17a-e79981013bcf,2be583a5-5c69-49a3-9307-f84739b2f34c,BEV-005,1
88869f8d-513d-4eff-bcd7-206dd8ed1797,2be583a5-5c69-49a3-9307-f84739b2f34c,BEV-002,1
17833fd2-0e74-4dc9-97a9-a6bbab58a703,b0006b44-c94e-44fa-8a45-5a90d4b79e56,JAF-003,-1
e8599179-b358-4722-9b2e-9366df0e5b1c,b0006b44-c94e-44fa-8a45-5a90d4b79e56,BEV-004,3
3d13b5bd-d979-4dec-a415-e5efd062957f,b0006b44-c94e-44fa-8a45-5a90d4b79e56,BEV-005,1
565c19c4-cc50-4b63-8c16-d1ce9dde2807,b0006b44-c94e-44fa-8a45-5a90d4b79e56,BEV-002,-1
cbf321a0-39a5-415a-982c-6bd0358ac16b,d287257a-1e7c-447e-a244-6aa1d7e46cc3,BEV-003,1
236040d3-64a3-443f-84b4-f3572bd64915,d287257a-1e7c-447e-a244-6aa1d7e46cc3,JAF-004,1
11303da9-5451-4920-80c8-2893a4da4088,9a7f13fb-33bd-4f69-a457-70784a437ed4,BEV-001,1
20b83c90-88f7-4a99-ae69-3c9bdf440881,9a7f13fb-33bd-4f69-a457-70784a437ed4,JAF-001,2
68f6297d-e5d4-46ca-ac0c-298888a3ac7c,9a7f13fb-33bd-4f69-a457-70784a437ed4,BEV-002,2
afceedb0-669c-45c6-8a7d-20893c49a179,ed9b4881-f135-47e6-882f-186773281264,JAF-005,1
75e08e88-6eb2-41f7-910f-18e4ee5655bd,ed9b4881-f135-47e6-882f-186773281264,JAF-004,1
62b03bac-4d0a-40e4-9bcb-bc4c4abdd5ae,ed9b4881-f135-47e6-882f-186773281264,BEV-005,1
24ee2951-71ce-48f8-a9a9-966e846f1e8b,014b914b-21a9-4b66-baa4-d528e36d8297,JAF-001,1
7264e1d3-71e5-4a4b-ac17-ec69366d188f,3a97ad75-6968-42d0-8be6-3a76bd3618b8,BEV-004,1
6d0ad8aa-1003-4da7-bd50-c88217426f01,3a97ad75-6968-42d0-8be6-3a76bd3618b8,BEV-005,1
