id,checkout_id,failure_reason,occurred_at,is_retried
ce45c149-dcfa-4280-bcd1-2fd08432c471,dfa88644-5574-4a16-9cfc-40d0cea0d253,fraud_flag,2026-03-05T14:03:20,False
71b69e27-dec0-4050-9d15-afb9a6d91030,43f54645-8908-4bc9-8216-a2c92ffb0a22,card_declined,2026-06-18T00:55:46,False
f1463f87-8b69-4d5a-9b39-6faeeca4fd38,e6aaf002-14e9-49de-96d3-e9046f7ab4d7,insufficient_funds,2026-04-10T15:05:31,True
88ace70d-1568-44b1-8d3b-8e03f4443412,947288bf-49b2-42fd-b55a-6a2280619a7f,card_declined,2026-05-09T16:26:20,False
8975b1e4-1e79-4596-aa45-bc1470af5bcf,4ad267dc-94a0-4ce6-be89-9b5b37ebad16,fraud_flag,2026-07-15T19:04:50,True
22d50b6d-2b0b-4dda-a7f0-2b8675b8fc67,93fc1424-6e1a-45cf-bccb-d0365d1676b3,fraud_flag,2026-03-29T17:10:28,False
f10011be-9d39-43e3-9b96-ae204e73c646,dd04b6ee-6ef0-4970-9991-87351b7c94ca,fraud_flag,2026-05-23T08:25:15,True
6178a97a-edff-4306-a2a7-62d08641cb73,116d2309-376d-493c-b181-f429e76dfa14,fraud_flag,2026-04-30T22:20:12,True
e764050b-335e-434e-b9cf-f56d9889db12,3f360e04-7613-45d7-8f31-2d5d8725d02d,insufficient_funds,2026-05-31T02:15:10,False
2b68bd42-0625-40aa-9355-724d4ac532fe,a3bd770b-a390-4c2d-8758-38a16fcada63,card_declined,2026-04-21T15:43:44,False
2ba01a10-0b64-4a1a-b3e5-93d3ff06645f,9fffed70-000b-416f-a1e1-67f0e38f6cc5,gateway_timeout,2026-04-07T02:28:39,False
4a5157b7-14f8-4453-928f-b1496e4dbb2f,2a601dc3-ec5c-42fb-b3cb-437b5776c7e6,card_declined,2026-04-06T06:09:13,False
9d6c8385-862f-487b-848c-324472431bb6,3beb3618-6287-4389-b3c4-48421db81352,gateway_timeout,2026-03-12T16:41:22,True
4ad3f4fa-47aa-483f-aa5d-ff0961db4497,cdffd740-8b61-4b5a-93b8-8f54aa41c2e7,card_declined,2026-03-29T11:48:07,True
e2bafd09-8fda-4db5-abbd-7b37d8123f19,79c5a5e2-35d6-43db-bd4f-d7fb6bcb32e8,fraud_flag,2026-08-05T17:57:14,False
cb21ac5c-03c1-4574-8154-ded33fcc129c,d09c6511-ff0c-4fb4-9c32-d11d679d1be9,address_invalid,2026-03-14T06:28:15,False
9d493216-7844-44d2-adc0-3d4db4adcac0,02cd5d42-1f0a-4cfa-9ce6-a43e6dbadbf8,insufficient_funds,2026-05-30T19:01:32,False
351a9e7b-e032-4355-bf4d-cbad8e6e0059,d7ee0006-0d71-48b0-9340-0e3c0a77e5b2,fraud_flag,2026-04-01T17:05:29,False
2e83488c-2a1d-4d30-8ad3-a12268815bd9,1dc1b28c-a499-4ab4-84cf-c2f28173f8c1,gateway_timeout,2026-06-05T12:11:03,False
9ba050a1-9d61-4dac-8403-0449e53eff9a,5edaff1f-70fe-4652-a22b-fc03292bd885,card_declined,2026-06-30T01:56:55,True
0855833c-4772-4880-84f8-06aa7a09e4f5,5287e08a-0488-4797-bd4c-e50eae10737e,address_invalid,2026-03-22T18:01:02,True
0133ed45-875f-4582-ada8-dbfe1c1b366e,172de6bb-6150-47cc-87bd-a1995de7b698,fraud_flag,2026-05-25T02:56:49,True
5c8db8b8-332e-47bc-b251-f93f226368e8,c51a201f-09e0-48ac-93e0-d1f7145f12df,address_invalid,2026-03-02T20:42:29,False
416adba8-cde2-4eed-bbd8-6f8ec6969be1,ee979906-a6f7-48a7-b524-ca32084cce94,gateway_timeout,2026-06-16T01:28:53,True
0ab7245a-a56e-42ec-b3e1-5216b3f44f49,fcc0850c-2150-406a-b40e-f774313640ca,address_invalid,2026-06-05T22:09:29,False
2721199a-e815-4e94-9f0a-a62d306d8635,5967173e-23b2-4239-a1b4-cf09a990798a,gateway_timeout,2026-07-02T07:58:21,True
5d18b457-b09a-4380-a372-1be5ab294a7d,96c23a2c-84b7-4458-afd8-547672268a7b,gateway_timeout,2026-06-15T09:07:27,False
ebf7da13-feec-4601-bf6b-1813503ed87c,79b440a6-f65b-4cee-b158-d01384b9d87d,card_declined,2026-07-25T06:18:59,False
f444858a-7e1a-42af-b3bc-98e3ad1c8a2a,69d10d8b-f7dd-4b5a-824b-41adcf01c181,address_invalid,2026-06-02T01:26:18,True
3e6fbb39-e617-4d02-821c-d2a9b63ba09f,e67b6103-69f2-4916-9b5f-7a685ecfd11a,gateway_timeout,2026-04-13T23:49:05,False
c4860a90-d15e-4467-b272-0299dfc526ce,dd28601c-560f-4cf3-9944-cd6fd5d87340,insufficient_funds,2026-07-28T14:58:31,False
d5ffd4b8-de6a-4a10-ac4d-d02bedbba13f,2cb3bd5a-4ca5-4500-be00-27c5f0908e92,gateway_timeout,2026-02-25T12:09:49,False
cbde7153-4697-44f8-97be-789637df3e93,d69dcb1a-bd69-4ea6-bfef-fea0443e1365,insufficient_funds,2026-06-19T22:46:43,False
4aa0a56c-a47e-4f95-8eff-4fa151bebfff,a8aa0713-ccd8-4ab2-aae7-c7ea76c05cb3,address_invalid,2026-06-01T04:32:52,True
b4484e63-0b49-4506-84fa-04b37195bd44,10c7e0b5-4c90-4554-8aba-adc027a5145b,card_declined,2026-06-12T09:53:11,False
3ce11308-a03b-4c58-9cdd-0debe774a0b2,f74a0cf5-670b-4f5c-a663-abe3c9ef7705,gateway_timeout,2026-08-03T21:33:08,False
3d9fda7e-2194-49be-829a-2a88a869c477,4801882b-10bf-4e47-a62e-6c8e63f6018f,fraud_flag,2026-04-20T02:03:33,False
f4829a8b-ec7f-483b-bd36-91b8fa14c5aa,3ea3296f-1614-4dea-b0db-84e6a88917f6,card_declined,2026-05-19T02:45:10,False
f999703c-66a4-41f1-9ad7-ec96b206166c,dff2d262-fbdc-4754-b3bf-85788aaad806,fraud_flag,2026-07-22T15:36:25,False
01a31c70-59fd-4bdf-849d-0604429e4769,bf7ab878-ca2f-4901-a84b-26617145c3ce,gateway_timeout,2026-05-06T13:39:39,False
83b987a1-e789-4b53-bb92-d8ca3179386f,ec910fef-bffb-40a8-8eb0-129a321eb998,insufficient_funds,2026-07-29T10:34:35,False
80f7b4e5-5892-42ad-bfa9-c825046e34fe,2515bb39-7d94-4da2-a19f-4382651227d9,fraud_flag,2026-03-29T09:55:09,False
9ea605ed-6d9d-4888-aad2-4f2639ca58d7,0b2ee4e7-13bd-4dc2-a38d-689f2bafd1dc,insufficient_funds,2026-08-02T14:20:17,False
14f19308-ca1e-4e83-988f-6e6a76c9fd36,360f4ab9-2206-4667-862f-5f7d0d56c48b,address_invalid,2026-04-08T07:14:27,False
20693796-8e05-43dd-bc37-58400c4b870e,ac5bf1c5-02a7-48f8-b6a5-42f0441bffd6,fraud_flag,2026-02-28T11:35:17,False
747c6686-1196-49e8-8733-d667563ff3fd,794df5c4-3eae-434f-a462-5a894d4bbdef,gateway_timeout,2026-04-25T17:53:55,True
f5baa6ea-40e8-43f8-ab85-dd6a986ee027,bc0416d3-875e-4642-85d8-44c6a6e04830,fraud_flag,2026-07-02T12:45:02,False
