id,checkout_id,event_type,occurred_at
c65503bd-40e3-454b-91b1-2d3758734e26,c2d9ed19-a5ec-4df6-9fce-7fa8090f0697,started,2026-05-12T06:23:40
cd31cbd3-67dd-4f24-a2e5-db810667605b,c2d9ed19-a5ec-4df6-9fce-7fa8090f0697,address_entered,2026-05-12T06:26:40
2df54443-56c0-46a4-8894-ec34e84bb8ab,c2d9ed19-a5ec-4df6-9fce-7fa8090f0697,shipping_selected,2026-05-12T06:27:40
cf1badf7-99bd-4ec4-b6fa-bfca7b70ee34,c2d9ed19-a5ec-4df6-9fce-7fa8090f0697,completed,2026-05-12T06:29:40
076cb74c-e8a8-4c6a-866e-5a05bc1e75f9,3c11c131-881f-4e3c-bed6-5737f9643212,started,2026-03-09T00:45:40
98451a3c-8323-4686-a138-6f806ec4b943,3c11c131-881f-4e3c-bed6-5737f9643212,address_entered,2026-03-09T00:48:40
c1b144a7-3081-4abb-9d49-7204e5f21f5b,3c11c131-881f-4e3c-bed6-5737f9643212,shipping_selected,2026-03-09T00:51:40
0c6de8a7-dfb2-4908-9957-9cb2967dc87b,3c11c131-881f-4e3c-bed6-5737f9643212,completed,2026-03-09T00:55:40
49b06d47-edcb-4036-8dad-5a3003ca2fe2,4b859b06-ce1f-4e34-adb5-23f9f84cd4e4,started,2026-03-03T23:08:15
7a1a193d-5dee-43b3-b727-b90756eb4552,4b859b06-ce1f-4e34-adb5-23f9f84cd4e4,address_entered,2026-03-03T23:11:15
e853bd30-0ece-4fc8-9718-58512ea830ce,4b859b06-ce1f-4e34-adb5-23f9f84cd4e4,shipping_selected,2026-03-03T23:14:15
8b944185-f5a8-46f2-81de-7768f62705ee,4b859b06-ce1f-4e34-adb5-23f9f84cd4e4,completed,2026-03-03T23:18:15
bdffddaf-4e62-4a0e-b024-681d4eef388a,bbc91b60-90c7-4f3e-a804-32ca876bd9ad,started,2026-03-18T14:59:48
ccc384b7-a141-42d4-86cd-c93c41cabd3b,bbc91b60-90c7-4f3e-a804-32ca876bd9ad,address_entered,2026-03-18T15:01:48
3ec2fc2b-38ce-409e-96f4-9e1260ac0a40,bbc91b60-90c7-4f3e-a804-32ca876bd9ad,shipping_selected,2026-03-18T15:03:48
9e60b1fa-6052-4196-92c2-92799dcd0ac2,bbc91b60-90c7-4f3e-a804-32ca876bd9ad,completed,2026-03-18T15:05:48
d0318cd5-d7f4-4e6f-881c-d14f48181be9,16c125ab-cb8b-49ce-b0a4-3114588df68c,started,2026-07-21T19:09:55
044ef5b9-282c-4c4b-b4c6-73f29096fd32,16c125ab-cb8b-49ce-b0a4-3114588df68c,address_entered,2026-07-21T19:12:55
dc8b3a8a-e134-4172-bc49-ee88eff42f50,16c125ab-cb8b-49ce-b0a4-3114588df68c,shipping_selected,2026-07-21T19:13:55
