id,capture_id,requested_at,refunded_at,amount_cents,reason,status
fecc14a0-a7ba-42b2-9187-ef7c77212ebe,d2c6fef2-9a13-4149-ae69-7e0a61f7588c,2026-07-13T16:40:32,2026-07-16T16:40:32,2374,order_cancelled,completed
2e03525d-eef8-4cd5-bcb6-fd1dd5bd2c38,50e09fd3-df31-493e-a68a-277520a5a4fb,2026-03-22T12:21:13,2026-03-25T12:21:13,5600,defective_item,completed
eea0dd82-11c6-4aac-ade3-873301d4565f,8eac0f2e-085e-4d90-bf90-7e63f4469e94,2026-03-06T14:31:28,2026-03-07T14:31:28,1800,order_cancelled,completed
e9259d55-25d9-4adb-8801-3adc7cf8a3c6,f00ffbb8-8eb7-427c-b5a8-1778a1d03bd0,2026-05-15T22:53:15,2026-05-18T22:53:15,1215,order_cancelled,completed
e0fcb90d-bd1f-4ba3-a2b7-a9d1f951cb91,38987c64-d932-4a90-ba95-fe70b02b259f,2026-03-26T10:18:13,2026-03-26T10:18:13,2573,defective_item,completed
1f35c5eb-dce5-4f21-a8e0-5943ca4af183,784e7e9b-98d9-4376-a1ce-dc044f60a5cc,2026-04-18T02:14:01,2026-04-20T02:14:01,4400,duplicate_charge,completed
c622fc3c-16e6-4a6c-adfb-ce5e79f06e5b,d35c94d5-5de9-4740-894b-9a9ab469fcd0,2026-05-06T17:54:30,2026-05-07T17:54:30,1144,defective_item,completed
dc4e51ef-0e19-4c29-9ce0-57ccc3f6e1b5,c6bb614c-5f61-4691-a8d0-b4c4bc89e731,2026-03-25T07:19:43,2026-03-26T07:19:43,1815,customer_request,completed
fae1fdec-1022-422c-ab75-fde8da5e7d63,18cd5be6-abdb-49c9-8a37-9f28684ba277,2026-03-20T12:11:42,,4000,customer_request,rejected
6e7542ac-46be-4bb8-977e-3ea8da62466b,6ff18007-0e64-4b3b-b63d-9a97dd8a33ea,2026-05-30T11:16:12,,1200,order_cancelled,pending
9ea2b363-5ab4-4583-8038-17406f0de622,0e10e57d-e585-4dc7-913a-61a4c53d7e5b,2026-04-02T13:46:02,2026-04-02T13:46:02,0,defective_item,completed
fb1d94d3-13f2-476a-af02-1fd19cf96528,3614721f-9716-4f96-8667-184207d128b2,2026-03-06T07:10:38,2026-03-07T07:10:38,5700,duplicate_charge,completed
99f11b75-7e23-4426-857a-e4de926845d6,274c0c12-a594-419f-9f10-e86393423328,2026-04-15T10:25:07,2026-04-17T10:25:07,157,duplicate_charge,completed
3d8767b5-4b73-4712-83d1-33d27c34d365,2da65594-2625-48f5-9fbd-6f69872dd3bc,2026-08-07T21:50:00,,736,customer_request,pending
8f403947-5115-4bd9-b7d1-bfa9471cfcc4,1cd03cd6-2693-47b4-9920-fa2666b63a29,2026-04-23T11:04:43,2026-04-25T11:04:43,1395,duplicate_charge,completed
142deb9b-6729-4258-a573-e99fea07888c,3ab43c55-e121-4f11-85d0-7e3bba120ac4,2026-02-28T08:52:15,2026-03-03T08:52:15,3300,duplicate_charge,completed
989c7640-a154-484d-8f8d-edbfd034cbad,aeabf191-f9e4-4989-a523-3a974a95fec4,2026-03-21T23:11:01,2026-03-23T23:11:01,600,defective_item,completed
2f030e2a-340f-4b7d-9ea0-db0dca5f696c,fb906c4d-44ed-4ed6-bf22-f2605b1ab2bf,2026-05-15T19:53:33,2026-05-15T19:53:33,4600,customer_request,completed
4ae6ae4e-08c2-4e92-a70e-0f9084d74157,6520a050-7942-46de-a099-e1d4531ee354,2026-06-27T16:13:21,2026-06-30T16:13:21,1800,duplicate_charge,completed
4d135145-47c4-4e96-babf-7735ab24e66e,6d22fbc2-4e15-49fc-b982-0b8f0ba1a7c5,2026-07-11T04:56:49,2026-07-12T04:56:49,1800,customer_request,completed
