id,supplier_id,warehouse_id,status,ordered_at,expected_at
bbe19fa5-7ac4-4ef4-a5f0-4ada1208f882,02f5c847-596f-4b6b-b575-d0b77e15c9e6,WH-WEST,received,2026-07-05T16:08:46,2026-07-24T16:08:46
396c03d3-b0ff-474f-a61e-0729ea0c1825,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,received,2026-06-26T16:08:46,2026-07-15T16:08:46
85081c38-477f-456d-ab10-f1b3c1af34fd,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,WH-WEST,confirmed,2026-03-24T16:08:46,2026-04-14T16:08:46
84b5c32e-50da-483d-9fc4-841961c49cb5,02f5c847-596f-4b6b-b575-d0b77e15c9e6,WH-WEST,confirmed,2026-07-14T16:08:46,2026-08-02T16:08:46
a17b5c1c-e3ae-4fc8-9669-ad1151291753,81ffb92b-a22a-4349-9fe8-c897b538bb49,WH-EAST,cancelled,2026-04-12T16:08:46,2026-05-03T16:08:46
ae6f7b88-76fd-42dd-b102-083b2fd20c93,cb45514c-a4d8-48a5-a965-6df357cea1ae,WH-WEST,confirmed,2026-07-06T16:08:46,2026-07-25T16:08:46
22544974-ff9c-459f-979f-32cdfa09184a,02f5c847-596f-4b6b-b575-d0b77e15c9e6,WH-EAST,received,2026-06-30T16:08:46,2026-07-19T16:08:46
1328db5a-247e-4b8a-9237-53a79936de3c,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,received,2026-06-07T16:08:46,2026-06-26T16:08:46
3400f9d9-3a80-4c8e-bc9b-4a971bc44e95,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,received,2026-03-24T16:08:46,2026-04-12T16:08:46
c90f7093-c986-4910-8abd-75f87717ec55,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-EAST,cancelled,2026-05-17T16:08:46,2026-06-05T16:08:46
873f0507-385d-4ca5-905d-b84ae70538df,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,confirmed,2026-07-02T16:08:46,2026-07-21T16:08:46
757cd6f1-52f7-4603-b00b-265fdf3e6c97,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,WH-EAST,confirmed,2026-05-12T16:08:46,2026-06-02T16:08:46
311a4b55-4d95-4d63-add1-ed3da26cdcf5,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,WH-EAST,received,2026-04-16T16:08:46,2026-05-07T16:08:46
69ec69be-9191-4b9d-8112-ab32f6c43ac6,cb45514c-a4d8-48a5-a965-6df357cea1ae,WH-EAST,cancelled,2026-08-06T16:08:46,2026-08-25T16:08:46
987b68ac-b997-404b-8d4a-5e5ddc6a463a,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,received,2026-04-26T16:08:46,2026-05-15T16:08:46
4ebd706c-f434-489e-bdf3-6c89fbf516e6,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,WH-EAST,received,2026-05-23T16:08:46,2026-06-13T16:08:46
2a4d72ae-b4d4-4ee6-91b0-f3f88839ab83,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,cancelled,2026-03-01T16:08:46,2026-03-20T16:08:46
be524906-6e7d-41db-a722-ed3d4fca0dc6,81ffb92b-a22a-4349-9fe8-c897b538bb49,WH-EAST,cancelled,2026-03-29T16:08:46,2026-04-19T16:08:46
7cc97b4f-458b-413e-b5ce-336599d0268a,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,partially_received,2026-04-05T16:08:46,2026-04-24T16:08:46
74f29d53-2146-48f4-8995-a07dac10fccb,cb45514c-a4d8-48a5-a965-6df357cea1ae,WH-WEST,received,2026-05-29T16:08:46,2026-06-17T16:08:46
9f1584a6-6167-4a55-b67d-25231488fd43,02f5c847-596f-4b6b-b575-d0b77e15c9e6,WH-WEST,cancelled,2026-07-18T16:08:46,2026-08-06T16:08:46
e4350881-3b57-47c9-84b9-a19043d2e36f,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-EAST,received,2026-04-05T16:08:46,2026-04-24T16:08:46
133f88c2-e592-4a48-a9dc-4a61207c3b6a,81ffb92b-a22a-4349-9fe8-c897b538bb49,WH-WEST,received,2026-03-01T16:08:46,2026-03-22T16:08:46
ea45ac60-50fc-474f-b39e-238b524696e9,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,WH-WEST,received,2026-03-11T16:08:46,2026-04-01T16:08:46
0ff1ea79-3bbc-4557-b3b6-d9f56f96caa4,cb45514c-a4d8-48a5-a965-6df357cea1ae,WH-EAST,partially_received,2026-06-09T16:08:46,2026-06-28T16:08:46
fc844454-cbe0-40a5-92f1-e1e1135eb4d7,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-EAST,received,2026-06-15T16:08:46,2026-07-04T16:08:46
001c3b1f-ca56-46ae-b7c0-676f5eb58528,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-EAST,partially_received,2026-04-04T16:08:46,2026-04-23T16:08:46
001d71e1-6225-4d73-9e67-a7ab201f4614,cb45514c-a4d8-48a5-a965-6df357cea1ae,WH-WEST,confirmed,2026-05-08T16:08:46,2026-05-27T16:08:46
4898756c-e72e-4f95-a7bc-e2a3f2833690,cb45514c-a4d8-48a5-a965-6df357cea1ae,WH-EAST,cancelled,2026-05-27T16:08:46,2026-06-15T16:08:46
69d256cc-58c5-455f-af2d-02609de543a5,02f5c847-596f-4b6b-b575-d0b77e15c9e6,WH-WEST,cancelled,2026-03-27T16:08:46,2026-04-15T16:08:46
e3a8bcf9-e01c-40fc-99db-cfd23ece81bb,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,WH-WEST,partially_received,2026-05-09T16:08:46,2026-05-30T16:08:46
83694a0c-09a8-4a07-848f-f76000d21585,81ffb92b-a22a-4349-9fe8-c897b538bb49,WH-WEST,cancelled,2026-06-21T16:08:46,2026-07-12T16:08:46
403643a1-5199-421e-a976-fbc723fd47b5,02f5c847-596f-4b6b-b575-d0b77e15c9e6,WH-EAST,confirmed,2026-08-03T16:08:46,2026-08-22T16:08:46
6e8dd6fd-c8d6-41bf-8e81-90b98d47ad31,02f5c847-596f-4b6b-b575-d0b77e15c9e6,WH-EAST,received,2026-04-22T16:08:46,2026-05-11T16:08:46
e5fd1585-9f0e-410c-8133-a36c8e41c894,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,WH-WEST,received,2026-07-13T16:08:46,2026-08-03T16:08:46
2eddd8d3-764a-4c19-9cc3-78be48f9999b,81ffb92b-a22a-4349-9fe8-c897b538bb49,WH-WEST,partially_received,2026-05-04T16:08:46,2026-05-25T16:08:46
d11740f8-1812-4df6-bdff-384112f44583,cb45514c-a4d8-48a5-a965-6df357cea1ae,WH-EAST,received,2026-03-04T16:08:46,2026-03-23T16:08:46
c398dba1-48c9-4e84-89f6-7d1fea49f9ad,7b6fa30c-7b85-46bc-a20d-3b5d7380e9f2,WH-EAST,received,2026-03-02T16:08:46,2026-03-23T16:08:46
c0b6fee3-5d61-4bcf-959c-28dcab795df9,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,partially_received,2026-08-10T16:08:46,2026-08-29T16:08:46
93964183-cf79-40e6-adff-a1665b363160,ceac3f4a-fef0-40f9-9fe2-d6b30ac4a90c,WH-WEST,received,2026-04-24T16:08:46,2026-05-13T16:08:46
