id,order_id,status,occurred_at
52bf6b91-66c6-4d52-80ab-c6eb0e616602,34b8044b-f532-4932-ab91-df5268c93576,placed,2025-04-17T13:19:00
832d2a16-cec8-4951-9ab7-3ffbea9ae85f,34b8044b-f532-4932-ab91-df5268c93576,processing,2025-04-19T06:19:00
6653f5b4-8e44-4f37-9883-01d223fae552,34b8044b-f532-4932-ab91-df5268c93576,fulfilled,2025-04-21T04:19:00
cba8a658-a698-44ec-ae6e-94ac53484817,34b8044b-f532-4932-ab91-df5268c93576,delivered,2025-04-21T22:19:00
ebdc76e9-c2ab-4f6a-8448-5d5488ca41f3,aa9c2cba-5598-4a03-b3c5-0cfee41519c8,placed,2025-04-03T11:52:00
6830faeb-6bec-4979-b219-b8e7f7c711ea,aa9c2cba-5598-4a03-b3c5-0cfee41519c8,processing,2025-04-04T23:52:00
2251c39b-a4c3-4184-b312-999ee18f8b56,aa9c2cba-5598-4a03-b3c5-0cfee41519c8,fulfilled,2025-04-06T14:52:00
63991d36-aaa1-498a-b5e4-f0dc78f02ea5,aa9c2cba-5598-4a03-b3c5-0cfee41519c8,delivered,2025-04-08T12:52:00
67359563-8d4c-4e47-afb5-13b606421b17,9d651c23-4935-440a-993c-3f32b9919895,placed,2025-02-28T08:42:00
147bd899-b27e-4c93-ab70-351be1ba1538,9d651c23-4935-440a-993c-3f32b9919895,processing,2025-03-01T11:42:00
2bb4a448-743b-4e73-82da-42df8ee965c5,9d651c23-4935-440a-993c-3f32b9919895,fulfilled,2025-03-03T05:42:00
754cc990-232f-4d75-8c4d-94b42dceb405,9d651c23-4935-440a-993c-3f32b9919895,delivered,2025-03-04T18:42:00
331c5dd8-faad-4c6f-92c4-219323efe8f8,581d22a6-f3ad-44bc-ab9a-74b0230ce126,placed,2025-01-24T15:16:00
ded9dce5-2175-4189-bf8d-076e261fce28,581d22a6-f3ad-44bc-ab9a-74b0230ce126,processing,2025-01-24T16:16:00
835237dc-6330-4856-9fb9-f4e49691b9d8,581d22a6-f3ad-44bc-ab9a-74b0230ce126,fulfilled,2025-01-26T01:16:00
884b9d92-17d0-41bf-9ec7-a02aa2efffc4,581d22a6-f3ad-44bc-ab9a-74b0230ce126,delivered,2025-01-27T10:16:00
91f2bf44-150c-4adb-a4ab-1e7ebc92ec54,ca57856a-5cbf-4707-b858-eee7c26acbcd,placed,2025-08-23T14:42:00
848345f7-e811-4e46-8385-3e8808e5dff9,ca57856a-5cbf-4707-b858-eee7c26acbcd,processing,2025-08-23T19:42:00
e8d89a45-bdc6-48d6-902e-6593e7554cfb,ca57856a-5cbf-4707-b858-eee7c26acbcd,fulfilled,2025-08-25T03:42:00
5960e784-b954-4b2a-a328-23915741a6ed,ca57856a-5cbf-4707-b858-eee7c26acbcd,delivered,2025-08-25T15:42:00
cf17d674-c81d-4967-8387-bd3a9a0b2a76,c404ee8d-f8e7-4020-9c0e-993a0b738e08,placed,2025-08-25T08:26:00
1a10a7c7-8c09-4296-a428-29d5269eea91,c404ee8d-f8e7-4020-9c0e-993a0b738e08,processing,2025-08-26T19:26:00
30ab7f27-dd78-4a11-bd79-ac26a99a7285,c404ee8d-f8e7-4020-9c0e-993a0b738e08,fulfilled,2025-08-28T09:26:00
32930821-4880-4c43-94ca-36fa46edec77,c404ee8d-f8e7-4020-9c0e-993a0b738e08,delivered,2025-08-28T12:26:00
a9eebf41-17db-44d9-98f7-376c843a9630,4e30ae81-4a11-48c0-8010-72dc7fe7ed59,placed,2025-04-18T11:06:00
