id,customer_id,session_id,created_at,updated_at,status
95db1e0f-4794-446a-a917-08a485367f7a,,f9ce8094-7ea5-4b6b-a1b1-8c60e60a3f30,2026-04-24T18:38:41,2026-04-24T21:54:41,abandoned
8d05bcca-5895-48d5-b607-44c11082ab38,a3d91be1-b5d9-4d3c-bdd8-ab49cd378f30,69636b77-ce2f-4ab6-a8f1-6ccedccb7630,2026-05-12T03:47:40,2026-05-12T06:21:40,converted
f4f00938-40d4-4e00-bca0-5ff8ed59006a,9ede5407-362e-465c-a234-482e1f2411c1,e038d02c-ffcc-43ef-9a85-810e29f77c76,2026-03-08T23:58:40,2026-03-09T00:42:40,converted
1c5636cd-0858-4d62-b332-1ce1caab23f1,,9b5fedd9-38e7-4d0f-a61a-af25c82a5c64,2026-03-22T07:40:46,2026-03-22T09:40:46,abandoned
0fbd7230-f403-4fe5-903b-03a6f04c09f7,,3c72c1de-9e6a-48cb-9cbe-263418932304,2026-03-03T19:33:15,2026-03-03T23:06:15,converted
c879f9e6-3b57-43c6-84d0-3ebdb83e09bf,,f0908106-20c2-4372-ab84-6569e8e5de38,2026-03-18T14:38:48,2026-03-18T14:56:48,converted
5649e6b8-ea45-497c-8bea-e182b9b739e1,,0eaddbaf-b428-4df8-abb2-deaf7f6ef538,2026-03-07T09:10:26,2026-03-07T10:41:26,abandoned
b88a7be5-c478-4643-8a6c-946986a22e7c,,c4a7367e-782e-4493-ad3e-6a6fdfb2b286,2026-03-21T01:56:23,2026-03-21T03:58:23,active
0e9183c6-8488-4cd3-b280-3746c48cfbf8,a1a72036-c041-4a92-a719-9bbf0e21d53b,8f1349bf-a6ff-4468-82c3-55dd727c9872,2026-07-17T09:37:22,2026-07-17T12:10:22,abandoned
18d5c6fb-ad50-42f6-8902-a56bb4f8523d,adf0d9db-c6a0-4226-a93f-30482ccd9d28,80bc94f4-f7b1-40a0-976a-c70c1e6c2b31,2026-04-13T23:16:38,2026-04-14T00:50:38,active
70ee0916-0801-4702-a10f-e89e22d53f4f,3218db6b-84e5-453d-8de9-a966eecbacc6,9bad8e2e-01ce-4ae4-be22-10e3329d6761,2026-07-21T17:57:55,2026-07-21T19:06:55,converted
c9db7d82-d606-4406-bbd1-0964ecbe6cbb,,33b9c79c-1790-47e2-89e9-eff9e0810c3d,2026-04-02T23:33:18,2026-04-03T03:15:18,abandoned
a90bff50-d446-4009-b6b6-2b761f4cb2a8,72fd6924-b954-4c8f-9c0b-2545d0efe53b,d09e12ad-0ef9-402f-b182-5a5a9ce18a5d,2026-05-03T02:38:49,2026-05-03T06:16:49,active
01bb7a74-454f-4c93-92ed-cdf78ee6c09f,,8f71d206-389b-44b7-801a-59b9d79adede,2026-06-03T21:07:26,2026-06-03T23:28:26,abandoned
b56ec3dd-0d89-4bf9-a8ba-86d8ace96be6,eefcf9f0-dbd0-4907-a619-121deeb825dc,83ffda65-2982-491b-a93a-2436f049422a,2026-03-21T09:23:05,2026-03-21T10:00:05,active
77dd1caf-d180-47cd-b5bf-809006a5f649,d4d6e685-70a2-49ea-b511-383a54d18cfa,4792b5c4-ed90-4cd9-9d1c-155f0bad924b,2026-02-22T13:25:19,2026-02-22T16:29:19,abandoned
39383d56-7ec4-4e98-a648-980b7d2022c1,,5c4c3b51-ced5-473d-bc36-c7d57a755aeb,2026-06-16T12:53:35,2026-06-16T15:20:35,converted
03260f88-9cb2-45f8-9097-3a545d926998,,35357a95-814d-4d14-83ce-bcc099cfd8ec,2026-04-09T19:02:43,2026-04-09T22:34:43,converted
c9414fe1-bb15-4bf8-97e8-d064ed9d7859,187d49e0-634f-4e10-a10c-3b0be7408be0,2e98d7d5-e006-47a9-824e-e69f203f937b,2026-06-07T14:27:52,2026-06-07T16:29:52,converted
faa9d7ce-7f35-48e0-9b0f-f4b89294514c,53352c2c-02b9-41af-b276-94d6d22379fe,898e59bb-d1bc-49d4-b5f9-072bffa81d8e,2026-04-16T13:48:31,2026-04-16T13:51:31,abandoned
33564ebb-f763-40d3-b8fd-1b687b3d12f3,2b4b540f-9423-4186-8164-4566e5e908f2,889f2a57-f110-4095-b4e7-5e51bfaf5104,2026-04-08T07:05:35,2026-04-08T09:22:35,abandoned
d10d8b31-8515-4592-89eb-9763b4b5f313,04edb858-b8d9-455a-a1f2-f236df11a91f,a4ee1991-9218-482f-b63c-5d065052118f,2026-06-08T07:08:45,2026-06-08T09:19:45,converted
e7661f2f-2a33-434d-85f1-2980bcfd7d43,4ba2a669-8d0b-4aef-96c0-aae24b7711ff,7975ffd8-18cf-47ab-a688-f75d6fec9aa5,2026-06-14T05:45:53,2026-06-14T07:53:53,converted
6b5a3a1f-f967-4430-8da9-2043ca4abf21,2aee3fe5-2eb0-4391-bb79-d4d4ffdd9931,0057b535-db0a-4533-aad5-ed7f4fa65e80,2026-08-07T19:43:38,2026-08-07T21:43:38,converted
0871fe18-c666-4386-954e-c9d64755a430,0a42e609-2a53-4824-bf02-0088bdb9b149,08a9615e-dbe9-4e50-a02e-eee47798d405,2026-07-25T13:49:06,2026-07-25T14:23:06,converted
