id,shipment_id,sku,quantity
ac29c067-eee2-43c9-9112-f64648d99b70,3e59914e-62e6-4c76-9c4e-0b68dc4ded3c,BEV-002,1
00f89331-5665-4039-95fd-4e4c3eef5959,ec394f08-9d85-44f6-8268-a183aa37ae0e,BEV-003,1
1072598a-7b83-48d3-b085-ea1ca7047ca9,0eafed5b-9185-450d-96e4-0406080ae9c9,JAF-004,2
ba93ab9c-bc7d-4534-a85d-d903eaaf2ce7,232eeff4-fe79-430d-80ad-d2444f64127b,BEV-003,1
af2948f0-be2a-416f-af31-93ab77d57409,232eeff4-fe79-430d-80ad-d2444f64127b,JAF-005,1
6bbdfb5c-4053-4db7-80c0-545bad90309e,232eeff4-fe79-430d-80ad-d2444f64127b,JAF-002,1
18238518-c71f-4366-a875-1101a338df56,0782dcd3-6a47-4fc9-bff3-a69448209086,BEV-004,1
d1e092b1-1105-4da8-bc72-a0d7e5cfffa7,0782dcd3-6a47-4fc9-bff3-a69448209086,BEV-003,2
4ed8e922-f18a-4cde-8dd3-49521e4c3e2a,0782dcd3-6a47-4fc9-bff3-a69448209086,BEV-004,1
38ec988a-dec8-4ff4-9714-885f4f735e4e,0fe0265d-ad8c-44fd-bf49-f639ca38509a,BEV-002,1
32c5b7eb-77ae-40e2-a987-0821cff9d9e2,0fe0265d-ad8c-44fd-bf49-f639ca38509a,JAF-001,1
b0ad7b91-3e50-40c2-b658-53dc04110739,0fe0265d-ad8c-44fd-bf49-f639ca38509a,JAF-001,1
73a701f8-961b-4187-b3a9-23dd556309ee,de30afe6-aee5-4210-9a9e-28912f5f7a9d,BEV-003,1
78e8b014-4b72-4098-b2ac-3388736c2372,62d48ffd-3e7a-46fa-8fc1-a3cf6bbf9397,JAF-003,1
eb61bf49-ef95-44f5-93b3-7caa08dec943,62d48ffd-3e7a-46fa-8fc1-a3cf6bbf9397,JAF-003,1
a5e78973-7c3a-4ec6-960a-55f3e1922662,9c372c67-5d27-4f49-a604-fb815b9cadec,BEV-003,3
d8d2f5b7-75db-4c08-9270-e762485cfb98,9c372c67-5d27-4f49-a604-fb815b9cadec,BEV-004,-1
dc20b4cb-60a1-47c5-a53b-45064ac75b76,9c372c67-5d27-4f49-a604-fb815b9cadec,BEV-005,1
ca956109-3d81-4a74-be6d-0bdc0a49206b,9c372c67-5d27-4f49-a604-fb815b9cadec,BEV-002,1
01a6eb1a-afca-455b-981d-760dae533607,bbc3dc9d-df80-45df-9da3-c91e9e88421c,JAF-003,-1
ee147aa6-5340-4b5b-8121-5ced69d99bf2,bbc3dc9d-df80-45df-9da3-c91e9e88421c,BEV-004,3
905aa3fa-ab57-4804-b994-2f889a02d335,bbc3dc9d-df80-45df-9da3-c91e9e88421c,BEV-005,1
86112649-4e6c-43a8-8ed2-77f0900fb086,bbc3dc9d-df80-45df-9da3-c91e9e88421c,BEV-002,-1
c56e8b14-cc3b-4b02-86a5-a4f20dec2e7b,b0c36243-385b-4e60-899d-cd42556c9514,BEV-003,1
6f3c3551-eed6-48b7-9bc2-4f1d8ca737a0,b0c36243-385b-4e60-899d-cd42556c9514,JAF-004,1
fa217848-9b20-4bb9-84f5-8c3dcb08bc4f,4d9549a5-212d-4aec-972c-f32844d08cb3,BEV-001,1
84d715f1-4384-44f3-b6d2-a1c75522b738,4d9549a5-212d-4aec-972c-f32844d08cb3,JAF-001,2
fcdd065a-e7d0-47be-b190-944fa985d1fa,4d9549a5-212d-4aec-972c-f32844d08cb3,BEV-002,2
e24ff100-4877-4518-9656-9cbfd2baa7ff,aff6ee40-3722-4de9-a578-f2f9851ad94e,JAF-001,1
78ed6f1f-d55d-4e2a-99ce-47f5992eae47,fdb06766-b423-4232-af51-7e6361811eb8,BEV-004,1
