id,campaign_id,channel
4586b5fd-cd80-4e53-89e3-d78bcadda58b,09573707-88d5-49d3-9883-cad210dfc293,email
9b7f7e3c-e415-4dbe-8de2-b2b45f2329eb,f2b87082-9015-4dc5-813c-99cf680d5633,email
2ea3513d-7053-4ebe-a17c-15281bee5d60,f2b87082-9015-4dc5-813c-99cf680d5633,social
736b08d4-4096-413f-b312-4cc973ad84a9,5c2098f9-789d-4c19-bc39-9bc2b10b615d,social
d32b6cf7-cb23-49f8-bab7-414c079c8480,5c2098f9-789d-4c19-bc39-9bc2b10b615d,display
e5f7af1b-229e-4584-8148-c69b699e03aa,81e4a121-070a-4f50-a023-2630fc13727c,search
3cb84f7b-9f55-4ae7-bca9-216a1324bb17,81e4a121-070a-4f50-a023-2630fc13727c,social
5e854768-a34b-45fd-81f9-a8985f44fc96,af40537c-3f5a-41f0-b7e8-3506667f1847,sms
3bd66fdb-66e3-42f5-8036-8b34e5386734,1fb2363e-3da8-46b9-aa20-08dd5aae305f,push
dbf89fef-e737-4365-8459-11193cf1b9cb,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,email
e725c450-950b-468f-9987-6c788b407c09,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,sms
0626a9d7-a770-43c6-82ca-cab85f337e1f,0ec1e216-3977-486d-a0ba-83d65c1dfcc5,social
4200ec44-3037-4d9c-83d6-dc3a73055c95,8c37538c-2f8a-40e9-ba0a-e71d00f5f353,email
